access_tier,data_owner,domain,format,historical_versions,id,jurisdiction,licence_notes,machine_readable,notes,primary_url,refresh_cadence,reliability,schedule,system,tags,utilisation_data
tier_1,public,medical_services,XML/CSV/HTML,True,au_mbs,Australia,"MBS Online copyright terms permit limited personal, non-commercial, unaltered use; redistribution or commercial use requires prior written Commonwealth approval. Derived public release remains gated.",True,Core service fee and benefit schedule with item descriptors and explanatory notes. See docs/SOURCE_LICENCE_EVIDENCE.md.,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads,quarterly,high,Medicare Benefits Schedule,Medicare,"[""services"", ""benefits"", ""consults"", ""procedures""]",True
tier_1,public,medicines,API/CSV,True,au_pbs,Australia,Public data; effective net prices may be confidential under deeds/special pricing arrangements.,True,"Core medicines reimbursement list, restrictions and pricing fields; the public API is updated on the first day of each month.",https://www.pbs.gov.au/info/browse/downloads,monthly,high,Pharmaceutical Benefits Schedule,PBS,"[""medicines"", ""restrictions"", ""prices""]",True
tier_1,public,hospital,PDF/XLSX,True,au_ihacpa_nep,Australia,Public reports; cite IHACPA and preserve versioned publication metadata.,True,Public hospital activity-based funding benchmark and weights.,https://www.ihacpa.gov.au/,annual,high,IHACPA National Efficient Price / NWAU,National Health Reform,"[""hospital"", ""drg"", ""nwau""]",True
tier_2,public,coverage_decisions,HTML/PDF,True,au_msac,Australia,Public documents; not all evidence inputs are machine-readable.,False,Coverage and HTA decision history for services and diagnostics.,https://www.msac.gov.au/,quarterly,high,MSAC Public Summary Documents,MSAC,"[""hta"", ""coverage"", ""evidence""]",False
tier_2,public,coverage_decisions,HTML/PDF,True,au_pbac,Australia,Public documents; published prices may not equal effective net price.,False,"Medicine listing decisions, restrictions, comparators and economic issues.",https://www.pbs.gov.au/info/industry/listing/elements/pbac-meetings/psd,quarterly,high,PBAC Public Summary Documents,PBAC,"[""hta"", ""medicines"", ""coverage""]",False
tier_1,public,medical_services,ZIP/CSV/RVUDB,True,us_cms_pfs,United States,Public domain federal data; CPT descriptors require AMA licence governance.,True,"HCPCS/CPT professional fees, RVUs, conversion factors, locality/payment modifiers.",https://www.cms.gov/medicare/physician-fee-schedule,quarterly,high,Physician Fee Schedule,Medicare,"[""services"", ""rvu"", ""hcpcs"", ""cpt""]",True
tier_1,public,laboratory,ZIP/CSV,True,us_cms_clfs,United States,Use applicable CMS/AMA source licence and terms; Apache-2.0 does not relicense this data. Exclude CPT descriptors and other licence-gated payloads unless expressly permitted.,True,"Lab and molecular pathology fee schedule, highly relevant for genomics.",https://www.cms.gov/medicare/payment/fee-schedules/clinical-laboratory-fee-schedule-clfs,quarterly,high,Clinical Laboratory Fee Schedule,Medicare,"[""lab"", ""genomics"", ""molecular""]",True
tier_1,public,hospital_outpatient,ZIP/CSV,True,us_cms_opps,United States,Public CMS data; APC logic needs careful versioning.,True,"Hospital outpatient APC payments, packaging, status indicators.",https://www.cms.gov/medicare/payment/prospective-payment-systems/hospital-outpatient,quarterly,high,Outpatient Prospective Payment System,Medicare,"[""hospital"", ""outpatient"", ""apc""]",True
tier_1,public,hospital_inpatient,ZIP/CSV/PDF,True,us_cms_ipps,United States,Public CMS data; claims-level analyses need separate restricted data.,True,"MS-DRG weights, base rates, wage indexes and inpatient payment rules.",https://www.cms.gov/medicare/payment/prospective-payment-systems/acute-inpatient-pps,quarterly,high,Inpatient Prospective Payment System,Medicare,"[""hospital"", ""drg"", ""inpatient""]",True
tier_1,public,medicines,ZIP/CSV/PDF,True,us_cms_asp,United States,Public ASP payment limits; confidential rebates and plan dynamics excluded.,True,Part B drug payment limits useful for biologics and infusion comparisons.,https://www.cms.gov/medicare/payment/fee-for-service-providers/part-b-drugs/average-drug-sales-price,quarterly,high,Average Sales Price Drug Pricing Files,Medicare Part B,"[""part_b"", ""drugs"", ""asp""]",True
tier_1,public,coverage_decisions,HTML/API-like search,True,us_cms_mcd,United States,Public federal coverage documents; extract with provenance.,True,"NCDs, LCDs, articles and coverage decision metadata.",https://www.cms.gov/medicare-coverage-database/,quarterly,high,Medicare Coverage Database,Medicare,"[""coverage"", ""ncd"", ""lcd""]",False
tier_3,public,medical_services,PDF/HTML/CSV varies,True,us_medicaid_state_fees,United States,Public but varies by state; licensing and format need state-level review.,False,Large comparator pool for local discretion and fee variation.,https://www.medicaid.gov/,quarterly,medium,State Fee-for-Service Schedules,Medicaid,"[""medicaid"", ""states"", ""variation""]",True
tier_1,public,hospital,XLSX/PDF,True,uk_nhs_payment_scheme,England,Open Government Licence likely for many materials; confirm each publication.,True,National tariff/pricing architecture for NHS-funded care.,https://www.england.nhs.uk/pay-syst/nhs-payment-scheme/,quarterly,high,NHS Payment Scheme / national prices,NHS England,"[""hospital"", ""tariff"", ""nhs""]",True
