category,evidence,id,recommended_action,required,status
code_quality,profile=ci blocking_failures=0,local_quality_profile,Inspect data/derived/local_quality_gates for failing blocking gates.,True,pass
code_quality,local_quality status=passed return_code=0,ruff_check,No action required.,True,pass
code_quality,local_quality status=passed return_code=0,ruff_format_check,No action required.,True,pass
code_quality,local_quality status=passed return_code=0,basedpyright,No action required.,True,pass
code_quality,local_quality status=passed return_code=0,pytest_coverage,No action required.,True,pass
security,local_quality status=passed return_code=0,bandit,No action required.,True,pass
data_governance,local_quality status=passed return_code=0,public_data_policy,No action required.,True,pass
data_governance,local_quality status=passed return_code=0,seed_sync,No action required.,True,pass
data_governance,local_quality status=passed return_code=0,protocol_status,No action required.,True,pass
data_governance,local_quality status=passed return_code=0,source_content_validation,No action required.,True,pass
data_governance,local_quality status=passed return_code=0,roadmap_linkages,No action required.,True,pass
data_governance,local_quality status=passed return_code=0,data_quality,No action required.,True,pass
data_governance,local_quality status=passed return_code=0,data_dictionary,No action required.,True,pass
data_governance,local_quality status=passed return_code=0,evidence_readiness,No action required.,True,pass
data_governance,local_quality status=passed return_code=0,source_drift,No action required.,True,pass
data_governance,checks=41 blocking_failures=0,data_quality_summary,Resolve blocking data-quality checks before release.,True,pass
data_governance,table_count=123 total_rows=3287,data_dictionary_summary,Regenerate the data dictionary after publication-manifest changes.,True,pass
data_governance,blocked=0 prototype_ready=5,evidence_readiness_summary,Resolve blocked research questions before evidence release.,True,pass
data_governance,blocking_failure_count=0 warnings=0,source_drift_summary,Review source drift failures before release.,True,pass
data_governance,validations=7 missing=3 failures=0,source_content_validation_summary,"Download missing public files in a network-enabled environment, then rerun validation.",True,warn
data_governance,contracts=7 missing=4 failures=0,source_contract_validation_summary,Download sources and rerun contract validation before real parsing.,True,warn
release,project_items=133 issue_count=124,github_project_export_summary,Import generated rows into GitHub Projects once repository credentials exist.,True,pass
release,tasks=8 blocked_network=4 blocked_secret=2,final_handoff_summary,Use final_handoff_tasks.csv as the network/credential handoff checklist.,True,pass
release,local_quality status=passed return_code=0,uv_build,No action required.,True,pass
dashboard,local_quality status=passed return_code=0,dashboard_build,No action required.,True,pass
security,external_quality outcome=blocked_network return_code=1,pip_audit_strict,Run pip_audit_strict in a network-enabled CI/local environment.,True,blocked
security,external_quality outcome=passed return_code=0,npm_audit_dashboard,No action required.,True,pass
supply_chain,external_quality outcome=failed return_code=14,zizmor_workflow_security,Fix zizmor_workflow_security before public release.,False,fail
toolchain,external_quality outcome=missing_tool return_code=127,pixi_available,Install or generate evidence for pixi_available.,False,missing
toolchain,external_quality outcome=passed return_code=0,mojo_available_uv_tool,No action required.,False,pass
supply_chain,fail=0 warn=13 pass=39,workflow_policy_matrix,Resolve fail records; gradually burn down warn records before hardened release.,True,warn
supply_chain,unresolved_action_refs=54 resolved=0 blocked_network=44,action_sha_pinning,"Resolve tags with network access, review generated suggestions, then pin actions to immutable SHAs.",False,warn
supply_chain,sbom_count=2 component_count=662,sbom_generation,Attach SBOM files to release artefacts and attestations.,True,pass
architecture,violations=0 cycles=0 unknown_layers=0,architecture_boundaries,"Fix layer violations, remove cycles, or update the layer map deliberately.",True,pass
data_governance,artifact_count=123 warning_count=0,publication_manifest,Review licence gates and warnings before publishing derived datasets.,True,pass
