domain,item_code,item_label,source_id,vector
laboratory,73358,Synthetic constitutional genomic analysis,au_mbs,"[-0.24253562503633297, -0.24253562503633297, 0.0, -0.24253562503633297, 0.24253562503633297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24253562503633297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24253562503633297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24253562503633297, -0.24253562503633297, 0.0, 0.24253562503633297, 0.0, 0.0, -0.48507125007266594, 0.24253562503633297, 0.0, -0.24253562503633297, 0.0, -0.24253562503633297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24253562503633297]"
medical_services,110,Synthetic specialist initial attendance,au_mbs,"[-0.30151134457776363, -0.30151134457776363, 0.0, 0.0, 0.0, 0.0, 0.30151134457776363, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30151134457776363, 0.0, 0.0, 0.0, 0.0, 0.30151134457776363, 0.0, -0.30151134457776363, 0.0, 0.0, -0.30151134457776363, 0.0, 0.0, 0.0, -0.6030226891555273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
medicines,1234A,Example enzyme replacement vial,au_pbs,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.31622776601683794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.31622776601683794, 0.0, 0.0, 0.0, -0.31622776601683794, 0.0, 0.31622776601683794, 0.0, -0.31622776601683794, 0.0, 0.0, -0.31622776601683794, 0.0, 0.0, 0.0, -0.31622776601683794, -0.31622776601683794, 0.31622776601683794, -0.31622776601683794, 0.0, 0.0, 0.0, 0.0, 0.0]"
medicines,5678B,Example oral therapy tablet,au_pbs,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
laboratory,81479,Synthetic molecular pathology procedure,us_cms_clfs,"[-0.2886751345948129, -0.2886751345948129, 0.0, 0.0, 0.2886751345948129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2886751345948129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2886751345948129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5773502691896258, -0.2886751345948129, 0.0, 0.0, 0.0, 0.2886751345948129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2886751345948129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
laboratory,G0452,Synthetic molecular pathology interpretation,us_cms_clfs,"[-0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.25, -0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]"
medical_services,99201,Example brief clinician encounter,us_cms_pfs,"[0.4082482904638631, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4082482904638631, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4082482904638631, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4082482904638631, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4082482904638631, 0.0, 0.0, 0.0, 0.0, -0.4082482904638631, 0.0]"
medical_services,96040,Example genetic counselling encounter,us_cms_pfs,"[0.4082482904638631, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4082482904638631, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4082482904638631, 0.0, 0.0, 0.0, 0.4082482904638631, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4082482904638631, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4082482904638631, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
medicines,J0001,Example biologic injection,us_cms_asp,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, -0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, -0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
medicines,J0002,Example enzyme infusion,us_cms_asp,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.2581988897471611, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2581988897471611, 0.0, 0.0, 0.2581988897471611, 0.0, 0.0, -0.5163977794943222, -0.2581988897471611, 0.0, 0.0, 0.0, -0.2581988897471611, 0.2581988897471611, 0.0, 0.0, 0.0, -0.2581988897471611, 0.0, 0.2581988897471611, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2581988897471611, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2581988897471611, -0.2581988897471611]"
