access_tier,concept_class,difficulty,domain,format,id,jurisdiction,kind,label,licence_risk,licence_scope,parser_status,stage,status,terminology_id
,,high,,,analysis:ai_diagnostics_reimbursement_readiness,,analysis,AI diagnostics reimbursement readiness,,,,design,,
,,medium,,,analysis:cognitive_vs_procedural_ratio,,analysis,Cognitive versus procedural reward index,,,,design,,
,,low,,,analysis:coverage_decision_architecture,,analysis,Coverage decision architecture comparison,,,,design,,
,,medium,,,analysis:coverage_to_utilisation_lag,,analysis,Coverage-to-utilisation lag after listing,,,,design,,
,,high,,,analysis:device_and_prosthesis_visibility,,analysis,Device and prosthesis price visibility comparison,,,,design,,
,,medium,,,analysis:equity_weighting_and_rural_loadings,,analysis,Equity weighting and rurality adjustments,,,,design,,
,,medium,,,analysis:genomics_coverage_price_diffusion,,analysis,"Genomics coverage, price and diffusion atlas",,,,design,,
,,low,,,analysis:global_public_schedule_access_index,,analysis,Global public schedule access and reproducibility index,,,,prototype,,
,,high,,,analysis:hospital_outpatient_carveout,,analysis,Hospital outpatient carve-out and bundling comparison,,,,design,,
,,high,,,analysis:hospital_professional_unbundling,,analysis,Hospital-professional unbundling map,,,,design,,
,,medium,,,analysis:innovation_time_to_reimbursement,,analysis,Time from evidence/approval to reimbursement,,,,design,,
,,medium,,,analysis:local_discretion_postcode_lottery,,analysis,Local discretion and postcode-lottery index,,,,design,,
,,medium,,,analysis:local_vs_national_discretion,,analysis,Local versus national coverage discretion map,,,,design,,
,,medium,,,analysis:medicine_access_restriction_text,,analysis,Medicine restriction-text strictness index,,,,design,,
,,high,,,analysis:medicine_substitution_and_price_ladders,,analysis,"Medicine substitution, reference pricing and price ladder analysis",,,,design,,
,,low,,,analysis:ontology_maturity_score,,analysis,Ontology and mapping maturity score,,,,design,,
,,high,,,analysis:patient_cost_exposure,,analysis,Patient cost exposure and gap risk,,,,design,,
,,medium,,,analysis:price_revision_velocity,,analysis,Price revision velocity and indexation discipline,,,,design,,
,,medium,,,analysis:primary_care_longitudinal_incentives,,analysis,Primary-care longitudinal incentive architecture,,,,design,,
,,medium,,,analysis:published_vs_effective_price_opacity,,analysis,Published versus effective price opacity score,,,,design,,
,,high,,,analysis:rare_disease_reimbursement_pathways,,analysis,Rare disease and ultra-orphan reimbursement pathways,,,,design,,
,,low,,,analysis:schedule_transparency_benchmark,,analysis,Schedule transparency benchmark,,,,design,,
,,medium,,,analysis:substitution_and_volume_control,,analysis,Substitution and volume-control evaluation,,,,design,,
,,medium,,,analysis:telehealth_payment_architecture,,analysis,Telehealth payment architecture and parity rules,,,,design,,
,,low,,,analysis:terminology_coverage_completeness,,analysis,Terminology coverage and ontology-dependency audit,,,,prototype,,
,drug_classification,,,,concept:atc:L04AB01,,ontology_concept,Etanercept,,synthetic,,,,atc
,gene_symbol,,,,concept:hgnc:HGNC:11998,,ontology_concept,TP53,,synthetic,,,,hgnc
,phenotype_root,,,,concept:hpo:HP:0000118,,ontology_concept,Phenotypic abnormality,,synthetic,,,,hpo
,diagnosis_category,,,,concept:icd11:MG30,,ontology_concept,Chronic pain,,synthetic,,,,icd11
,laboratory_observation,,,,concept:loinc:81247-9,,ontology_concept,Master HL7 genetic variant reporting panel,,synthetic,,,,loinc
,clinical_drug,,,,concept:rxnorm:214555,,ontology_concept,Etanercept injectable product,,synthetic,,,,rxnorm
,,,,,domain:biomedical_indexing,,domain,biomedical_indexing,,,,,,
,,,,,domain:clinical_terms,,domain,clinical_terms,,,,,,
,,,,,domain:community_care,,domain,community_care,,,,,,
,,,,,domain:contextual,,domain,contextual,,,,,,
,,,,,domain:costs,,domain,costs,,,,,,
,,,,,domain:coverage_decisions,,domain,coverage_decisions,,,,,,
,,,,,domain:cross_terminology,,domain,cross_terminology,,,,,,
,,,,,domain:devices,,domain,devices,,,,,,
,,,,,domain:devices_equipment,,domain,devices_equipment,,,,,,
,,,,,domain:diagnoses,,domain,diagnoses,,,,,,
,,,,,domain:diagnosis,,domain,diagnosis,,,,,,
,,,,,domain:genes,,domain,genes,,,,,,
,,,,,domain:genetics_disease,,domain,genetics_disease,,,,,,
,,,,,domain:genomics,,domain,genomics,,,,,,
,,,,,domain:hospital,,domain,hospital,,,,,,
,,,,,domain:hospital_inpatient,,domain,hospital_inpatient,,,,,,
,,,,,domain:hospital_outpatient,,domain,hospital_outpatient,,,,,,
,,,,,domain:hospital_specialist,,domain,hospital_specialist,,,,,,
,,,,,domain:laboratory,,domain,laboratory,,,,,,
,,,,,domain:laboratory_clinical_observations,,domain,laboratory_clinical_observations,,,,,,
,,,,,domain:medical_services,,domain,medical_services,,,,,,
,,,,,domain:medicines,,domain,medicines,,,,,,
,,,,,domain:medicines_devices,,domain,medicines_devices,,,,,,
,,,,,domain:palliative_end_of_life,,domain,palliative_end_of_life,,,,,,
,,,,,domain:phenotype,,domain,phenotype,,,,,,
,,,,,domain:phenotypes,,domain,phenotypes,,,,,,
,,,,,domain:post_acute,,domain,post_acute,,,,,,
,,,,,domain:price_benchmarks,,domain,price_benchmarks,,,,,,
,,,,,domain:primary_care_terms,,domain,primary_care_terms,,,,,,
,,,,,domain:psychiatric_diagnoses,,domain,psychiatric_diagnoses,,,,,,
,,,,,domain:rare_disease,,domain,rare_disease,,,,,,
,,,,,domain:utilisation,,domain,utilisation,,,,,,
,,,,,jurisdiction:australia,,jurisdiction,Australia,,,,,,
,,,,,jurisdiction:belgium,,jurisdiction,Belgium,,,,,,
,,,,,jurisdiction:brazil,,jurisdiction,Brazil,,,,,,
,,,,,jurisdiction:canada,,jurisdiction,Canada,,,,,,
,,,,,jurisdiction:canada_alberta,,jurisdiction,Canada - Alberta,,,,,,
,,,,,jurisdiction:canada_british_columbia,,jurisdiction,Canada - British Columbia,,,,,,
,,,,,jurisdiction:canada_ontario,,jurisdiction,Canada - Ontario,,,,,,
,,,,,jurisdiction:canada_quebec,,jurisdiction,Canada - Quebec,,,,,,
,,,,,jurisdiction:denmark,,jurisdiction,Denmark,,,,,,
,,,,,jurisdiction:england,,jurisdiction,England,,,,,,
,,,,,jurisdiction:finland,,jurisdiction,Finland,,,,,,
,,,,,jurisdiction:france,,jurisdiction,France,,,,,,
,,,,,jurisdiction:germany,,jurisdiction,Germany,,,,,,
,,,,,jurisdiction:india,,jurisdiction,India,,,,,,
,,,,,jurisdiction:ireland,,jurisdiction,Ireland,,,,,,
,,,,,jurisdiction:israel,,jurisdiction,Israel,,,,,,
,,,,,jurisdiction:italy,,jurisdiction,Italy,,,,,,
,,,,,jurisdiction:japan,,jurisdiction,Japan,,,,,,
,,,,,jurisdiction:mexico,,jurisdiction,Mexico,,,,,,
,,,,,jurisdiction:multi_country,,jurisdiction,Multi-country,,,,,,
,,,,,jurisdiction:netherlands,,jurisdiction,Netherlands,,,,,,
,,,,,jurisdiction:new_zealand,,jurisdiction,New Zealand,,,,,,
,,,,,jurisdiction:norway,,jurisdiction,Norway,,,,,,
,,,,,jurisdiction:singapore,,jurisdiction,Singapore,,,,,,
,,,,,jurisdiction:south_africa,,jurisdiction,South Africa,,,,,,
,,,,,jurisdiction:south_korea,,jurisdiction,South Korea,,,,,,
,,,,,jurisdiction:spain,,jurisdiction,Spain,,,,,,
,,,,,jurisdiction:sweden,,jurisdiction,Sweden,,,,,,
,,,,,jurisdiction:switzerland,,jurisdiction,Switzerland,,,,,,
,,,,,jurisdiction:taiwan,,jurisdiction,Taiwan,,,,,,
,,,,,jurisdiction:united_states,,jurisdiction,United States,,,,,,
,,,,,ontology:atc,,ontology,WHO ATC/DDD,medium,,,,,
,,,,,ontology:dsm5,,ontology,DSM-5,high,,,,,
,,,,,ontology:hgnc,,ontology,HGNC,low,,,,,
,,,,,ontology:hpo,,ontology,Human Phenotype Ontology,low_medium,,,,,
,,,,,ontology:icd10,,ontology,ICD-10 / ICD-10-CM / ICD-10-AM,medium,,,,,
,,,,,ontology:icd11,,ontology,ICD-11,medium,,,,,
,,,,,ontology:loinc,,ontology,LOINC,medium,,,,,
,,,,,ontology:mesh,,ontology,MeSH,low_medium,,,,,
,,,,,ontology:omim,,ontology,OMIM,high,,,,,
,,,,,ontology:orpha,,ontology,ORPHAnet / ORDO,medium,,,,,
,,,,,ontology:read_codes,,ontology,Read Codes / CTV3,high_or_deprecated,,,,,
,,,,,ontology:rxnorm,,ontology,RxNorm,medium,,,,,
,,,,,ontology:snomed_ct,,ontology,SNOMED CT,high,,,,,
,,,,,ontology:umls,,ontology,UMLS Metathesaurus,high,,,,,
,,,,,recipe:recipe_cognitive_procedural_relativities,,analysis_recipe,Do public fee schedules reward cognitive work differently from procedural work?,,,,,design,
,,,,,recipe:recipe_genomics_price_coverage,,analysis_recipe,"How do public systems link genomic test coverage, eligibility and payment signals?",,,,,prototype,
,,,,,recipe:recipe_local_discretion,,analysis_recipe,How does local versus national coverage discretion shape access and postcode variation?,,,,,design,
,,,,,recipe:recipe_medicine_price_opacity,,analysis_recipe,Where do published medicine prices diverge from effective net payer prices and patient exposure?,,,,,design,
,,,,,recipe:recipe_source_transparency_atlas,,analysis_recipe,Which jurisdictions provide the most reproducible public reimbursement data?,,,,,prototype,
tier_1,,,utilisation,,source:au_aihw_mbs_pbs_stats,Australia,source,MBS and PBS utilisation and expenditure statistics,,,,,,
tier_1,,,hospital,,source:au_ihacpa_nep,Australia,source,IHACPA National Efficient Price / NWAU,,,,,,
tier_1,,,medical_services,,source:au_mbs,Australia,source,Medicare Benefits Schedule,,,,,,
tier_2,,,coverage_decisions,,source:au_msac,Australia,source,MSAC Public Summary Documents,,,,,,
tier_2,,,coverage_decisions,,source:au_pbac,Australia,source,PBAC Public Summary Documents,,,,,,
tier_1,,,medicines,,source:au_pbs,Australia,source,Pharmaceutical Benefits Schedule,,,,,,
tier_1,,,medical_services,,source:be_inami,Belgium,source,NomenSoft nomenclature,,,,,,
tier_1,,,medical_services,,source:br_sigtap,Brazil,source,"SIGTAP procedures, medicines and OPM table",,,,,,
tier_2,,,medical_services,,source:ca_ab_somb,Canada - Alberta,source,Schedule of Medical Benefits,,,,,,
tier_2,,,medical_services,,source:ca_bc_msp,Canada - British Columbia,source,Medical Services Commission Payment Schedule,,,,,,
tier_2,,,hospital,,source:ca_ciihi_cmg,Canada,source,Case Mix Groups and resource intensity weights,,,,,,
tier_2,,,medical_services,,source:ca_on_ohip,Canada - Ontario,source,Schedule of Benefits,,,,,,
tier_2,,,medical_services,,source:ca_qc_ramq,Canada - Quebec,source,Physician remuneration agreements and tariffs,,,,,,
tier_1,,,medicines,,source:ch_specialities_list,Switzerland,source,Specialities List,,,,,,
tier_1,,,hospital,,source:ch_swissdrg,Switzerland,source,SwissDRG catalogues,,,,,,
tier_2,,,medical_services,,source:ch_tarmed_tardoc,Switzerland,source,TARMED/TARDOC outpatient tariffs,,,,,,
tier_2,,,medical_services,,source:de_ebm,Germany,source,Einheitlicher Bewertungsmaßstab,,,,,,
tier_1,,,hospital,,source:de_gdrg,Germany,source,G-DRG catalogues,,,,,,
tier_1,,,hospital,,source:dk_drg,Denmark,source,DRG tariffs and cost weights,,,,,,
tier_2,,,medicines,,source:es_bifimed,Spain,source,BIFIMED medicine financing and price information,,,,,,
tier_2,,,medicines,,source:fi_kela_reimbursements,Finland,source,Medicine reimbursement and price data,,,,,,
tier_2,,,medical_services,,source:fr_ccam,France,source,CCAM/NGAP tariffs,,,,,,
tier_2,,,coverage_decisions,,source:fr_haspub,France,source,HAS decisions and evaluations,,,,,,
tier_2,,,devices,,source:fr_lpp,France,source,Liste des Produits et Prestations,,,,,,
tier_2,,,medicines,,source:ie_hse_reimbursement,Ireland,source,Reimbursement lists and community drug schemes,,,,,,
tier_2,,,hospital,,source:in_abpmjay_hbp,India,source,Health Benefit Packages and rates,,,,,,
tier_2,,,coverage_decisions,,source:is_hta_catalogue,Israel,source,National Health Basket and technology updates,,,,,,
tier_2,,,medicines,,source:it_aifa_reimbursement,Italy,source,AIFA reimbursed medicines and pricing decisions,,,,,,
tier_2,,,medical_services,,source:jp_mhlw_fee,Japan,source,National medical fee schedule,,,,,,
tier_2,,,medicines,,source:jp_nhi_drug_prices,Japan,source,NHI Drug Price Standard,,,,,,
tier_3,,,medical_services,,source:kr_hira,South Korea,source,Fee schedules and claims data references,,,,,,
tier_3,,,medical_services,,source:mx_imss_costs,Mexico,source,Published medical service unit costs and tariffs,,,,,,
tier_1,,,hospital_specialist,,source:nl_nza_dbc,Netherlands,source,DBC care products and tariffs,,,,,,
tier_2,,,medical_services,,source:no_helfo_tariffs,Norway,source,Tariffs for reimbursement claims,,,,,,
tier_1,,,medicines_devices,,source:nz_pharmac,New Zealand,source,Pharmaceutical Schedule,,,,,,
tier_1,,,contextual,,source:oecd_health_stats,Multi-country,source,Health statistics and expenditure indicators,,,,,,
tier_1,,,hospital,,source:se_norddrg,Sweden,source,NordDRG weights,,,,,,
tier_1,,,medicines,,source:se_tlv,Sweden,source,Medicine price and subsidy database,,,,,,
tier_2,,,price_benchmarks,,source:sg_fee_benchmarks,Singapore,source,Hospital bills and fee benchmarks,,,,,,
tier_1,,,medical_services,,source:tw_nhi_services,Taiwan,source,Medical service payment standards,,,,,,
tier_1,,,genomics,,source:uk_genomic_test_directory,England,source,National Genomic Test Directory,,,,,,
tier_2,,,medicines,,source:uk_nhs_drug_tariff,England,source,Drug Tariff,,,,,,
tier_1,,,hospital,,source:uk_nhs_payment_scheme,England,source,NHS Payment Scheme / national prices,,,,,,
tier_2,,,costs,,source:uk_nhs_reference_costs,England,source,NHS reference costs / patient-level costing outputs,,,,,,
tier_2,,,coverage_decisions,,source:uk_nice_guidance,England,source,NICE technology appraisal and diagnostics guidance,,,,,,
tier_1,,,hospital_outpatient,,source:us_cms_asc,United States,source,Ambulatory Surgical Center Payment System,,,,,,
tier_1,,,medicines,,source:us_cms_asp,United States,source,Average Sales Price Drug Pricing Files,,,,,,
tier_1,,,laboratory,,source:us_cms_clfs,United States,source,Clinical Laboratory Fee Schedule,,,,,,
tier_1,,,devices_equipment,,source:us_cms_dmepos,United States,source,DMEPOS Fee Schedule,,,,,,
tier_1,,,community_care,,source:us_cms_home_health,United States,source,Home Health Prospective Payment System,,,,,,
tier_1,,,palliative_end_of_life,,source:us_cms_hospice,United States,source,Hospice Payment System,,,,,,
tier_1,,,hospital_inpatient,,source:us_cms_ipps,United States,source,Inpatient Prospective Payment System,,,,,,
tier_1,,,coverage_decisions,,source:us_cms_mcd,United States,source,Medicare Coverage Database,,,,,,
tier_1,,,hospital_outpatient,,source:us_cms_opps,United States,source,Outpatient Prospective Payment System,,,,,,
tier_2,,,medicines,,source:us_cms_partd_puf,United States,source,Part D Prescriber and Drug Spending Public Use Files,,,,,,
tier_1,,,medical_services,,source:us_cms_pfs,United States,source,Physician Fee Schedule,,,,,,
tier_1,,,post_acute,,source:us_cms_snf,United States,source,Skilled Nursing Facility Prospective Payment System,,,,,,
tier_3,,,medical_services,,source:us_medicaid_state_fees,United States,source,State Fee-for-Service Schedules,,,,,,
tier_1,,,contextual,,source:who_gho,Multi-country,source,Global Health Observatory,,,,,,
tier_2,,,medical_services,,source:za_upfs,South Africa,source,Uniform Patient Fee Schedule,,,,,,
,,,,,table:coverage_decisions,,table,coverage_decisions,,,,,,
,,,,,table:coverage_discretion_typology,,table,coverage_discretion_typology,,,,,,
,,,,,table:crosswalk_candidates,,table,crosswalk_candidates,,,,,,
,,,,,table:crosswalk_review_queue,,table,crosswalk_review_queue,,,,,,
,,,,,table:policy_signal_matrix,,table,policy_signal_matrix,,,,,,
,,,,,table:price_opacity_matrix,,table,price_opacity_matrix,,,,,,
,,,,,table:rebate_caveat_register,,table,rebate_caveat_register,,,,,,
,,,,,table:relative_value_index,,table,relative_value_index,,,,,,
,,,,,table:schedule_items,,table,schedule_items,,,,,,
,,,,,table:source_acquisition_plan,,table,source_acquisition_plan,,,,,,
,,,,,table:source_readiness,,table,source_readiness,,,,,,
,,,,,table:source_registry,,table,source_registry,,,,,,
,,,,,table:source_status,,table,source_status,,,,,,
