edge_count,evidence,id,recommended_action,source_layer,status,target_layer
14,14 observed import edge(s).,foundation_to_foundation,No action required.,foundation,pass,foundation
0,0 observed import edge(s).,foundation_to_unknown,Assign unknown modules to a named architecture layer.,foundation,pass,unknown
31,31 observed import edge(s).,parsing_to_foundation,No action required.,parsing,pass,foundation
20,20 observed import edge(s).,parsing_to_parsing,No action required.,parsing,pass,parsing
0,0 observed import edge(s).,parsing_to_unknown,Assign unknown modules to a named architecture layer.,parsing,pass,unknown
18,18 observed import edge(s).,analysis_to_foundation,No action required.,analysis,pass,foundation
10,10 observed import edge(s).,analysis_to_analysis,No action required.,analysis,pass,analysis
0,0 observed import edge(s).,analysis_to_unknown,Assign unknown modules to a named architecture layer.,analysis,pass,unknown
61,61 observed import edge(s).,orchestration_to_foundation,No action required.,orchestration,pass,foundation
18,18 observed import edge(s).,orchestration_to_orchestration,No action required.,orchestration,pass,orchestration
0,0 observed import edge(s).,orchestration_to_unknown,Assign unknown modules to a named architecture layer.,orchestration,pass,unknown
13,13 observed import edge(s).,interface_to_foundation,No action required.,interface,pass,foundation
9,9 observed import edge(s).,interface_to_parsing,No action required.,interface,pass,parsing
12,12 observed import edge(s).,interface_to_analysis,No action required.,interface,pass,analysis
30,30 observed import edge(s).,interface_to_orchestration,No action required.,interface,pass,orchestration
1,1 violation(s) across 1 edge(s).,interface_to_unknown,Move shared logic downward or introduce a boundary-facing adapter.,interface,fail,unknown
1,1 violation(s) across 1 edge(s).,unknown_to_foundation,Move shared logic downward or introduce a boundary-facing adapter.,unknown,fail,foundation
0,0 observed import edge(s).,unknown_to_parsing,Assign unknown modules to a named architecture layer.,unknown,pass,parsing
0,0 observed import edge(s).,unknown_to_analysis,Assign unknown modules to a named architecture layer.,unknown,pass,analysis
0,0 observed import edge(s).,unknown_to_orchestration,Assign unknown modules to a named architecture layer.,unknown,pass,orchestration
0,0 observed import edge(s).,unknown_to_interface,Assign unknown modules to a named architecture layer.,unknown,pass,interface
0,0 observed import edge(s).,unknown_to_unknown,Assign unknown modules to a named architecture layer.,unknown,pass,unknown
