acquisition_mode,expected_format,file_label,licence_gate,notes,parse_command,raw_handling,snapshot_command,source_file_id,source_id,source_url,source_version_id,step_id,suggested_local_path
manual_download,TXT,MBS 20260701 item map TXT,public_reuse_review,Manual download into data/raw_live/au_mbs; do not commit raw file until reuse terms are reviewed. Keep the raw file outside git; commit only derived rows and snapshots.,# Bundle after both MBS TXT files are present: reimbursement-atlas reviewed-mbs-txt-pair-bundle data/raw_live/au_mbs/20260701_MBSONLINE_IMAP.TXT data/raw_live/au_mbs/20260701_MBSONLINE_DESC.TXT --output-dir data/derived/reviewed_sources/au_mbs_20260701_txt_pair,local_raw_only,reimbursement-atlas snapshot-local-file --source-version-id au_mbs_20260701_txt_pair --content-type text/plain data/raw_live/au_mbs/20260701_MBSONLINE_IMAP.TXT,au_mbs_20260701_imap_txt,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990d3ca25692100069854/1bc94358d4f276d3ca257ccf0000aa73/%24FILE/20260701_MBSONLINE_IMAP.TXT,au_mbs_20260701_txt_pair,step_001,data/raw_live/au_mbs/20260701_MBSONLINE_IMAP.TXT
manual_download,TXT,MBS 20260701 item descriptors TXT,public_reuse_review,Join with item-map by MBS item code to produce derived schedule rows. Keep the raw file outside git; commit only derived rows and snapshots.,# Bundle after both MBS TXT files are present: reimbursement-atlas reviewed-mbs-txt-pair-bundle data/raw_live/au_mbs/20260701_MBSONLINE_IMAP.TXT data/raw_live/au_mbs/20260701_MBSONLINE_DESC.TXT --output-dir data/derived/reviewed_sources/au_mbs_20260701_txt_pair,local_raw_only,reimbursement-atlas snapshot-local-file --source-version-id au_mbs_20260701_txt_pair --content-type text/plain data/raw_live/au_mbs/20260701_MBSONLINE_DESC.TXT,au_mbs_20260701_desc_txt,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990d3ca25692100069854/1bc94358d4f276d3ca257ccf0000aa73/%24FILE/20260701_MBSONLINE_DESC.TXT,au_mbs_20260701_txt_pair,step_002,data/raw_live/au_mbs/20260701_MBSONLINE_DESC.TXT
manual_download,XML,MBS 20260701 current-release XML,public_reuse_review,Parse Data records into approved derived fields; raw XML remains in ignored data/raw_live/au_mbs/. Keep the raw file outside git; commit only derived rows and snapshots.,reimbursement-atlas parse-local-source --source-version-id au_mbs_20260701_xml data/raw_live/au_mbs/MBS-XML-20260701.XML --output-dir data/derived/reviewed_sources/au_mbs_20260701_xml,local_raw_only,reimbursement-atlas snapshot-local-file --source-version-id au_mbs_20260701_xml --content-type application/xml data/raw_live/au_mbs/MBS-XML-20260701.XML,au_mbs_20260701_xml,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990d3ca25692100069854/d4bd04ca56657072ca258df70023b066/$FILE/MBS-XML-20260701.XML,au_mbs_20260701_xml,step_003,data/raw_live/au_mbs/MBS-XML-20260701.XML
landing_page_review,HTML metadata,MBS 2010 to 2019 archive downloads page,metadata_only,Use this archive index to enumerate historical MBS releases before any local mirroring. This acquisition-pack row is metadata-only until a human accepts any gate.,# No parser runs for metadata-only landing/API records.,metadata_only,# Metadata-only record; review the landing page or endpoint before downloading.,au_mbs_2010_2019_downloads_page,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/MBSOnline-2010,au_mbs_2010_2019_downloads_page,step_004,data/raw_live/au_mbs/MBSOnline-2010
landing_page_review,HTML metadata,MBS 1989 to 2010 previous downloads page,metadata_only,Use this archive index to enumerate older MBS releases before any local mirroring. This acquisition-pack row is metadata-only until a human accepts any gate.,# No parser runs for metadata-only landing/API records.,metadata_only,# Metadata-only record; review the landing page or endpoint before downloading.,au_mbs_1989_2010_previous_downloads_page,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/Prev-Downloads,au_mbs_1989_2010_previous_downloads_page,step_005,data/raw_live/au_mbs/Prev-Downloads
landing_page_review,HTML metadata,CMS 26CLABQ3 file page,metadata_only,Metadata-only row is safe for source tracking; raw zip is separate and AMA-gated. This acquisition-pack row is metadata-only until a human accepts any gate.,# No parser runs for metadata-only landing/API records.,metadata_only,# Metadata-only record; review the landing page or endpoint before downloading.,us_cms_clfs_26clabq3_page,us_cms_clfs,https://www.cms.gov/medicare/payment/fee-schedules/clinical-laboratory-fee-schedule-clfs/files/26clabq3,us_cms_clfs_26clabq3_ama_zip,step_006,data/raw_live/us_cms_clfs/26CLABQ3 landing page
licence_clickthrough_manual,ZIP containing CLFS file,CMS 26CLABQ3 AMA-gated ZIP,restricted_or_licence_review,The repo must not automate licence acceptance or redistribute CPT descriptors. This acquisition-pack row is metadata-only until a human accepts any gate.,# No parser runs for metadata-only landing/API records.,metadata_only,# Metadata-only record; review the landing page or endpoint before downloading.,us_cms_clfs_26clabq3_ama_zip,us_cms_clfs,https://www.cms.gov/license/ama?file=/files/zip/26clabq3.zip,us_cms_clfs_26clabq3_ama_zip,step_007,data/raw_live/us_cms_clfs/26clabq3.zip
api_rate_limited,JSON or CSV,PBS public API v3 schedule and item endpoints,public_reuse_review,"Copy the current public-user Subscription-Key at runtime from the official API catalogue (do not commit or log it) and place it in PBS_API_SUBSCRIPTION_KEY. If the key is absent, retain and validate a non-empty ignored local PBS dataset instead; record local_cache_available and refresh through the API later. The public key may rotate; the catalogue is authoritative. Published price fields are not confidential net government prices, but source terms and derived-field scope still require review. This acquisition-pack row is metadata-only until a human accepts any gate.",# No parser runs for metadata-only landing/API records.,metadata_only,# Metadata-only record; review the landing page or endpoint before downloading.,au_pbs_api_v3_documentation,au_pbs,https://data-api.health.gov.au/pbs/api/v3/schedules,au_pbs_api_v3_current_month,step_008,data/raw_live/au_pbs/pbs_v3_schedules.json
landing_page_review,ZIP containing PBS API CSV endpoint files,PBS API CSV files download page,public_reuse_review,"Discover the current ZIP URL from the official page at acquisition time; do not infer or hard-code a historical monthly filename. Store the ZIP only under ignored data/raw_live/au_pbs/ and record page URL, download URL and checksums before review. This acquisition-pack row is metadata-only until a human accepts any gate.",# No parser runs for metadata-only landing/API records.,metadata_only,# Metadata-only record; review the landing page or endpoint before downloading.,au_pbs_api_csv_download_page,au_pbs,https://www.pbs.gov.au/info/browse/download,au_pbs_api_v3_current_month,step_009,data/raw_live/au_pbs/PBS API CSV files ZIP (discover from page)
manual_extract,ZIP/XLSX/CSV manual extract,CMS ASP July 2026 payment-limit files page,public_reuse_review,"Treat as payment-limit evidence only, not coverage evidence. This acquisition-pack row is metadata-only until a human accepts any gate.",# No parser runs for metadata-only landing/API records.,metadata_only,# Metadata-only record; review the landing page or endpoint before downloading.,us_cms_asp_july_2026_payment_limit_page,us_cms_asp,https://www.cms.gov/medicare/payment/part-b-drugs/asp-pricing-files,us_cms_asp_july_2026_payment_limit,step_010,data/raw_live/us_cms_asp/July 2026 ASP payment-limit files
