id,linkage_role,linked_entity_id,linked_entity_label,linked_entity_type,readiness_status,recommended_action,research_question_id,track_id
rq_genomics_coverage_price_source_au_mbs,required_dataset,au_mbs,Australia — Medicare Benefits Schedule,source,available,Use the registered source metadata and exact source-file records where available.,rq_genomics_coverage_price,track_policy_demonstrators
rq_genomics_coverage_price_source_us_cms_clfs,required_dataset,us_cms_clfs,United States — Clinical Laboratory Fee Schedule,source,available,Use the registered source metadata and exact source-file records where available.,rq_genomics_coverage_price,track_policy_demonstrators
rq_genomics_coverage_price_source_us_cms_mcd,required_dataset,us_cms_mcd,United States — Medicare Coverage Database,source,available,Use the registered source metadata and exact source-file records where available.,rq_genomics_coverage_price,track_policy_demonstrators
rq_genomics_coverage_price_source_uk_genomic_test_directory,required_dataset,uk_genomic_test_directory,England — National Genomic Test Directory,source,available,Use the registered source metadata and exact source-file records where available.,rq_genomics_coverage_price,track_policy_demonstrators
rq_genomics_coverage_price_mapping_resource_map_loinc_download_api,supporting_mapping_resource,map_loinc_download_api,LOINC download/API,mapping_resource,local_only,Implement a local/licence-aware adapter before using this in analysis.,rq_genomics_coverage_price,track_policy_demonstrators
rq_genomics_coverage_price_mapping_resource_map_hpo,supporting_mapping_resource,map_hpo,Human Phenotype Ontology,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_genomics_coverage_price,track_policy_demonstrators
rq_genomics_coverage_price_mapping_resource_map_hgnc,supporting_mapping_resource,map_hgnc,HGNC gene symbols,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_genomics_coverage_price,track_policy_demonstrators
rq_genomics_coverage_price_mapping_resource_map_clingen,supporting_mapping_resource,map_clingen,ClinGen resources,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_genomics_coverage_price,track_policy_demonstrators
rq_genomics_coverage_price_output_out_api,planned_output,out_api,api on github,output,available,Keep output plan aligned with release gates and OSF/Hugging Face publication rules.,rq_genomics_coverage_price,track_policy_demonstrators
rq_genomics_coverage_price_output_out_mcp,planned_output,out_mcp,mcp on github,output,available,Keep output plan aligned with release gates and OSF/Hugging Face publication rules.,rq_genomics_coverage_price,track_policy_demonstrators
rq_cognitive_procedural_source_au_mbs,required_dataset,au_mbs,Australia — Medicare Benefits Schedule,source,available,Use the registered source metadata and exact source-file records where available.,rq_cognitive_procedural,track_policy_demonstrators
rq_cognitive_procedural_source_us_cms_pfs,required_dataset,us_cms_pfs,United States — Physician Fee Schedule,source,available,Use the registered source metadata and exact source-file records where available.,rq_cognitive_procedural,track_policy_demonstrators
rq_cognitive_procedural_source_ca_on_ohip,required_dataset,ca_on_ohip,Canada - Ontario — Schedule of Benefits,source,available,Use the registered source metadata and exact source-file records where available.,rq_cognitive_procedural,track_policy_demonstrators
rq_cognitive_procedural_mapping_resource_map_omop_athena,supporting_mapping_resource,map_omop_athena,OMOP/OHDSI Athena vocabularies,mapping_resource,local_only,Implement a local/licence-aware adapter before using this in analysis.,rq_cognitive_procedural,track_policy_demonstrators
rq_cognitive_procedural_mapping_resource_map_fhir_terminology,supporting_mapping_resource,map_fhir_terminology,HL7 FHIR Terminology operations,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_cognitive_procedural,track_policy_demonstrators
rq_cognitive_procedural_mapping_resource_map_icd11_api,supporting_mapping_resource,map_icd11_api,WHO ICD-11 API,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_cognitive_procedural,track_policy_demonstrators
rq_cognitive_procedural_mapping_resource_map_bioportal,supporting_mapping_resource,map_bioportal,NCBO BioPortal,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_cognitive_procedural,track_policy_demonstrators
rq_cognitive_procedural_mapping_resource_map_gudid,supporting_mapping_resource,map_gudid,FDA GUDID,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_cognitive_procedural,track_policy_demonstrators
rq_cognitive_procedural_mapping_resource_map_orphanet_mondo,supporting_mapping_resource,map_orphanet_mondo,Orphanet/MONDO rare disease mappings,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_cognitive_procedural,track_policy_demonstrators
rq_cognitive_procedural_output_out_api,planned_output,out_api,api on github,output,available,Keep output plan aligned with release gates and OSF/Hugging Face publication rules.,rq_cognitive_procedural,track_policy_demonstrators
rq_cognitive_procedural_output_out_mcp,planned_output,out_mcp,mcp on github,output,available,Keep output plan aligned with release gates and OSF/Hugging Face publication rules.,rq_cognitive_procedural,track_policy_demonstrators
rq_medicine_opacity_source_au_pbs,required_dataset,au_pbs,Australia — Pharmaceutical Benefits Schedule,source,available,Use the registered source metadata and exact source-file records where available.,rq_medicine_opacity,track_policy_demonstrators
rq_medicine_opacity_source_us_cms_asp,required_dataset,us_cms_asp,United States — Average Sales Price Drug Pricing Files,source,available,Use the registered source metadata and exact source-file records where available.,rq_medicine_opacity,track_policy_demonstrators
rq_medicine_opacity_source_nz_pharmac,required_dataset,nz_pharmac,New Zealand — Pharmaceutical Schedule,source,available,Use the registered source metadata and exact source-file records where available.,rq_medicine_opacity,track_policy_demonstrators
rq_medicine_opacity_mapping_resource_map_rxnav_in_box,supporting_mapping_resource,map_rxnav_in_box,RxNav-in-a-Box/RxNorm,mapping_resource,local_only,Implement a local/licence-aware adapter before using this in analysis.,rq_medicine_opacity,track_policy_demonstrators
rq_medicine_opacity_mapping_resource_map_who_atc_ddd,supporting_mapping_resource,map_who_atc_ddd,WHO ATC/DDD,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_medicine_opacity,track_policy_demonstrators
rq_medicine_opacity_output_out_api,planned_output,out_api,api on github,output,available,Keep output plan aligned with release gates and OSF/Hugging Face publication rules.,rq_medicine_opacity,track_policy_demonstrators
rq_medicine_opacity_output_out_mcp,planned_output,out_mcp,mcp on github,output,available,Keep output plan aligned with release gates and OSF/Hugging Face publication rules.,rq_medicine_opacity,track_policy_demonstrators
rq_local_national_coverage_source_us_cms_mcd,required_dataset,us_cms_mcd,United States — Medicare Coverage Database,source,available,Use the registered source metadata and exact source-file records where available.,rq_local_national_coverage,track_policy_demonstrators
rq_local_national_coverage_source_au_mbs,required_dataset,au_mbs,Australia — Medicare Benefits Schedule,source,available,Use the registered source metadata and exact source-file records where available.,rq_local_national_coverage,track_policy_demonstrators
rq_local_national_coverage_source_uk_nhs_payment_scheme,required_dataset,uk_nhs_payment_scheme,England — NHS Payment Scheme / national prices,source,available,Use the registered source metadata and exact source-file records where available.,rq_local_national_coverage,track_policy_demonstrators
rq_local_national_coverage_mapping_resource_map_omop_athena,supporting_mapping_resource,map_omop_athena,OMOP/OHDSI Athena vocabularies,mapping_resource,local_only,Implement a local/licence-aware adapter before using this in analysis.,rq_local_national_coverage,track_policy_demonstrators
rq_local_national_coverage_mapping_resource_map_fhir_terminology,supporting_mapping_resource,map_fhir_terminology,HL7 FHIR Terminology operations,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_local_national_coverage,track_policy_demonstrators
rq_local_national_coverage_mapping_resource_map_icd11_api,supporting_mapping_resource,map_icd11_api,WHO ICD-11 API,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_local_national_coverage,track_policy_demonstrators
rq_local_national_coverage_mapping_resource_map_bioportal,supporting_mapping_resource,map_bioportal,NCBO BioPortal,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_local_national_coverage,track_policy_demonstrators
rq_local_national_coverage_mapping_resource_map_gudid,supporting_mapping_resource,map_gudid,FDA GUDID,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_local_national_coverage,track_policy_demonstrators
rq_local_national_coverage_mapping_resource_map_orphanet_mondo,supporting_mapping_resource,map_orphanet_mondo,Orphanet/MONDO rare disease mappings,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_local_national_coverage,track_policy_demonstrators
rq_local_national_coverage_output_out_api,planned_output,out_api,api on github,output,available,Keep output plan aligned with release gates and OSF/Hugging Face publication rules.,rq_local_national_coverage,track_policy_demonstrators
rq_local_national_coverage_output_out_mcp,planned_output,out_mcp,mcp on github,output,available,Keep output plan aligned with release gates and OSF/Hugging Face publication rules.,rq_local_national_coverage,track_policy_demonstrators
rq_source_transparency_source_source_registry,required_metadata_registry,source_registry,Source registry,source,available,Use the source registry as the primary transparency-atlas dataset.,rq_source_transparency,track_policy_demonstrators
rq_source_transparency_mapping_resource_map_omop_athena,supporting_mapping_resource,map_omop_athena,OMOP/OHDSI Athena vocabularies,mapping_resource,local_only,Implement a local/licence-aware adapter before using this in analysis.,rq_source_transparency,track_policy_demonstrators
rq_source_transparency_mapping_resource_map_fhir_terminology,supporting_mapping_resource,map_fhir_terminology,HL7 FHIR Terminology operations,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_source_transparency,track_policy_demonstrators
rq_source_transparency_mapping_resource_map_icd11_api,supporting_mapping_resource,map_icd11_api,WHO ICD-11 API,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_source_transparency,track_policy_demonstrators
rq_source_transparency_mapping_resource_map_bioportal,supporting_mapping_resource,map_bioportal,NCBO BioPortal,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_source_transparency,track_policy_demonstrators
rq_source_transparency_mapping_resource_map_gudid,supporting_mapping_resource,map_gudid,FDA GUDID,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_source_transparency,track_policy_demonstrators
rq_source_transparency_mapping_resource_map_orphanet_mondo,supporting_mapping_resource,map_orphanet_mondo,Orphanet/MONDO rare disease mappings,mapping_resource,planned,Implement a local/licence-aware adapter before using this in analysis.,rq_source_transparency,track_policy_demonstrators
rq_source_transparency_output_out_api,planned_output,out_api,api on github,output,available,Keep output plan aligned with release gates and OSF/Hugging Face publication rules.,rq_source_transparency,track_policy_demonstrators
rq_source_transparency_output_out_mcp,planned_output,out_mcp,mcp on github,output,available,Keep output plan aligned with release gates and OSF/Hugging Face publication rules.,rq_source_transparency,track_policy_demonstrators
