command,conductor_track,evidence_path,external_state,gate_evidence,github_issues,id,last_verified_at,reason_code,recommended_action,required_environment,review_record,status,task_group,title,unblock_condition
PYTHONPATH=src reimbursement-atlas source-download-plan --method curl && bash data/derived/source_downloads/download_commands.sh,track_live_source_ingestion,data/derived/source_downloads/download_attempts.jsonl,ready,"[""data/derived/source_downloads/download_attempts.jsonl""]","[23, 25, 255]",final_source_downloads,,source_acquisition_partial,"Run first, then rerun source-validation and source-contracts.",Network-enabled local machine or GitHub runner with outbound HTTPS.,,partial,source_ingestion,Run hardened curl/wget source download plan,MBS/PBS/CMS source hosts resolve and downloads complete into ignored data/raw_live storage.
PYTHONPATH=src reimbursement-atlas reviewed-mbs-txt-pair-bundle data/raw_live/au_mbs/20260701_MBSONLINE_IMAP.TXT data/raw_live/au_mbs/20260701_MBSONLINE_DESC.TXT,track_live_source_ingestion,data/derived/reviewed_source_bundles/,not_applicable,"[""data/derived/reviewed_source_bundles/""]",[23],final_mbs_pair_bundle,,reviewed_bundle_complete,Commit only derived rows and redacted provenance after licence review.,Local checkout with downloaded MBS item-map and descriptor TXT files.,,complete,source_ingestion,Create reviewed derived-only MBS TXT pair bundle,Both July 2026 MBS TXT files exist in ignored local raw storage.
PYTHONPATH=src reimbursement-atlas source-files,track_source_provenance_licence_release,docs/LIVE_SOURCE_VALIDATION_PLAYBOOK.md,not_applicable,"[""data/derived/licence_review/licence_review_queue.jsonl"", ""data/licence_review/decisions.jsonl"", ""docs/REVIEW_DECISIONS.md""]","[24, 492, 496]",final_cms_clfs_licence_review,,source_scope_review_pending,Avoid CPT descriptor redistribution; publish payment/metadata only when permitted.,Human review of AMA/CPT licence implications before parsing or publishing fields.,data/licence_review/decisions.jsonl,blocked_review,source_ingestion,Review CMS CLFS AMA-gated file and derived-field policy,Reviewer approves the set of derived CLFS fields that can be stored and published.
uv run --all-extras pip-audit --strict,track_ci_cd_supply_chain,data/derived/external_quality_gates.json,not_applicable,"[""data/derived/external_quality_gates.json""]",[191],final_pip_audit_strict,,external_security_gate,Make this a required release gate in CI before public release.,Network-enabled Python environment with access to PyPI advisory APIs.,,complete,security,Run pip-audit strict in a network-enabled environment,PyPI advisory lookup completes with no unresolved vulnerabilities.
PYTHONPATH=src python scripts/resolve_action_pins.py,track_ci_cd_supply_chain,data/derived/repo_automation/action_pin_resolution.jsonl,not_applicable,"[""data/derived/repo_automation/action_pin_resolution.jsonl""]",[191],final_action_sha_pinning,,action_pin_gate,Keep all third-party Actions SHA-pinned and zizmor medium findings blocking.,Network-enabled environment with GitHub API access.,,complete,automation,Resolve GitHub Action tags to immutable SHAs,All action references are resolved and workflows use immutable SHAs where practical.
gh workflow run huggingface.yml,track_publication_hf_spaces,.github/workflows/huggingface.yml,ready,"[""data/derived/release_readiness/summary.json"", ""data/derived/publication_manifest/summary.json""]",[534],final_hf_dataset_space,,hf_write_credential_rejected,The dry run has passed; inspect the candidate bundle and publish only after the remaining review gates are approved.,"GitHub Actions with configured HF_TOKEN, HF_DATASET_REPO and HF_SPACE_REPO targets, plus licence and evidence review.",,blocked_secret,publication,Publish gated Hugging Face dataset and Space dry run,"Licence, evidence, policy and research gates pass and publication is explicitly approved."
gh workflow run osf.yml,track_osf_registration_record_quality,data/derived/osf/osf_publication_manifest.json,ready,"[""data/osf_review/registration_decision.json"", ""data/derived/osf/registration_freeze.json"", ""data/derived/osf/remote_registration_snapshot.json"", ""data/derived/osf/osf_publication_manifest.json""]","[484, 488, 511]",final_osf_protocol_pack,2026-07-26T00:33:20Z,osf_registration_active_public,The approved repository/data registration is active and public; preserve its immutable submitted scope and keep papers and preprints excluded.,"Configured OSF personal access token and private project, plus approved protocol text.",data/osf_review/registration_decision.json,complete,research,Create OSF protocol/report components and upload preregistration pack,"Protocols, licence, methods and governance decisions are human-reviewed and the sync manifest rows are explicitly approved."
"PYTHONPATH=src reimbursement-atlas osf-registration-check --remote-state-path ""$OSF_REGISTRATION_SNAPSHOT""",track_osf_registration_record_quality,data/derived/osf/registration_freeze.json,ready,"[""data/osf_review/registration_decision.json"", ""data/derived/osf/registration_freeze.json"", ""data/derived/osf/remote_registration_snapshot.json"", ""data/osf_review/post_registration_evolution.json""]","[484, 489, 511]",final_osf_registration_drift_check,2026-07-26T00:33:20Z,osf_post_registration_evolution_disclosed,"Preserve the immutable registration and keep later protocol, manifest and source-cutoff changes explicitly outside its preregistered scope.","Approved protocol freeze, human methods/licence/governance review and an exported OSF registration metadata snapshot.",data/osf_review/post_registration_evolution.json,ready_local,research,Verify OSF registration fingerprint and amendment state,"The reviewed freeze matches the active registration, or exact later drift is checksum-bound to an approved post-registration evolution disclosure."
PYTHONPATH=src python scripts/make_mapping_blind_review_ledger.py --cycle expansion_v9 && PYTHONPATH=src python scripts/make_mapping_adjudication_packet.py --cycle expansion_v9,track_evidence_adjudication_review,data/derived/mapping_study/expansion_v9/adjudication_owner_packet.json,not_applicable,"[""data/derived/mapping_study/expansion_v9/adjudication_owner_packet.json"", ""data/derived/mapping_study/expansion_v9/candidate_frame_summary.json""]","[490, 491]",final_mapping_calibration_review,,mapping_holdout_accepted,Preserve prior cycles as immutable evidence. Complete expansion_v9 under its bounded codebook; do not disclose or evaluate its holdout early.,Two isolated blinded reviews and accountable adjudication of the separately frozen expansion cycle.,,complete,mappings,Adjudicate mapping gold standards and negative controls,"The expansion cycle fills the approved family/label quotas, accountable adjudication is frozen, and the untouched holdout is evaluated exactly once."
pixi run historical-sources && pixi run source-download-plan && pixi run source-contracts,track_historical_source_archival_reproducibility,data/derived/historical_sources/summary.json,not_applicable,"[""data/derived/historical_sources/summary.json""]","[255, 486, 492]",final_historical_source_expansion,,historical_source_acquisition_partial,Continue derived-only processing under the approved source-specific licences. The inventory covers 343 targets across 32 pages; missing payloads remain an acquisition gap and must not be inferred as temporal evidence.,Human source/licence review plus network access to historical MBS and PBS releases.,,partial,source_ingestion,Review historical MBS/PBS source expansion and licence scope,Acquire and validate the approved historical release payloads into ignored raw storage; the metadata inventory and source-specific reuse policy are complete.
cd apps/dashboard && npm run test:browser,track_public_product_citation_dashboard,docs/DASHBOARD_VALIDATION.md,not_applicable,"[""docs/DASHBOARD_VALIDATION.md"", ""data/derived/dashboard_review/automated_review_packet.json""]","[493, 501]",final_dashboard_visual_review,,dashboard_human_review_approved,"Use the 11-route, 64-test, four-project browser packet as the pre-review gate; complete scoped VoiceOver, visual and provenance review without claiming universal WCAG conformance.",Human visual review across the supported browser/OS matrix with approved baselines.,data/derived/dashboard_review/human_review.json,complete,release,Review cross-platform dashboard visual baselines,"Reviewed screenshots or platform-specific baselines are approved without accessibility, layout or provenance regressions."
PYTHONPATH=src reimbursement-atlas release-readiness && PYTHONPATH=src reimbursement-atlas data-quality,track_release_record_archive_maturity,data/derived/release_readiness/summary.json,ready,"[""data/derived/release_readiness/summary.json""]","[487, 507]",final_release_candidate,,external_release_candidate_ready,"Only then cut a signed, attested public release and archive to Zenodo/OSF.",Network-enabled runner after source/security/publication gates complete.,,ready_local,release,Generate final release-readiness report and public archive,"Required software blockers are zero and repository_release_ready is true. Research, evidence and policy-claim readiness remain separate fail-closed gates."
gh workflow run zenodo-preflight.yml -f mode=draft -f confirm=CREATE_ZENODO_DRAFT -f release_tag=v0.1.0,track_external_publication_archive_execution,data/derived/zenodo/external_state.json,pending,"[""data/derived/zenodo/preflight.json"", ""data/derived/zenodo/external_state.json""]","[532, 618, 620]",final_zenodo_draft,,zenodo_token_encoding_blocker,"Replace the malformed ZENODO_TOKEN secret, rerun draft mode, and record the returned deposition identifier without publishing it.","GitHub release assets, a valid ASCII ZENODO_TOKEN and the approved draft confirmation value.",,ready_local,publication,Create the approved Zenodo draft without publishing,The exact tagged release assets are available and Zenodo accepts the token-gated draft mutation; publication and DOI minting remain separate.
