category,evidence,id,recommended_action,required,status
code_quality,profile=ci blocking_failures=0,local_quality_profile,Inspect data/derived/local_quality_gates for failing blocking gates.,True,pass
code_quality,local_quality status=passed return_code=0,ruff_check,No action required.,True,pass
code_quality,local_quality status=passed return_code=0,ruff_format_check,No action required.,True,pass
code_quality,local_quality status=passed return_code=0,basedpyright,No action required.,True,pass
code_quality,local_quality status=passed return_code=0,pytest_coverage,No action required.,True,pass
security,local_quality status=passed return_code=0,bandit,No action required.,True,pass
data_governance,local_quality status=passed return_code=0,public_data_policy,No action required.,True,pass
data_governance,local_quality status=passed return_code=0,seed_sync,No action required.,True,pass
release,local_quality status=passed return_code=0,uv_build,No action required.,True,pass
dashboard,local_quality status=passed return_code=0,dashboard_build,No action required.,True,pass
security,external_quality outcome=blocked_network return_code=1,pip_audit_strict,Run pip_audit_strict in a network-enabled CI/local environment.,True,blocked
security,external_quality outcome=passed return_code=0,npm_audit_dashboard,No action required.,True,pass
supply_chain,external_quality outcome=failed return_code=14,zizmor_workflow_security,Fix zizmor_workflow_security before public release.,False,fail
toolchain,external_quality outcome=missing_tool return_code=127,pixi_available,Install or generate evidence for pixi_available.,False,missing
toolchain,external_quality outcome=passed return_code=0,mojo_available_uv_tool,No action required.,False,pass
supply_chain,fail=0 warn=12 pass=36,workflow_policy_matrix,Resolve fail records; gradually burn down warn records before hardened release.,True,warn
supply_chain,unresolved_action_refs=44 resolved=0 blocked_network=44,action_sha_pinning,"Resolve tags with network access, review generated suggestions, then pin actions to immutable SHAs.",False,warn
supply_chain,sbom_count=2 component_count=662,sbom_generation,Attach SBOM files to release artefacts and attestations.,True,pass
architecture,violations=0 cycles=0 unknown_layers=0,architecture_boundaries,"Fix layer violations, remove cycles, or update the layer map deliberately.",True,pass
data_governance,artifact_count=68 warning_count=0,publication_manifest,Review licence gates and warnings before publishing derived datasets.,True,pass
