description,github_issue_title,id,inputs,interface,name,outputs,priority,quality_gates,status,track_id
"Fetch a registered source file with curl, wget or httpx into ignored local raw storage.",Implement robust source download command with curl/wget/API fallbacks,func_source_download,"[""source_files.jsonl""]",cli,source download,"[""download_attempts.jsonl"", ""local raw file""]",must,"[""raw path ignored"", ""licence gate checked""]",implemented,track_live_source_ingestion
Hash and provenance-record reviewed local source files without committing raw payloads.,Maintain source snapshot provenance for all reviewed downloads,func_source_snapshot,"[""local raw file""]",cli,source snapshot,"[""SourceSnapshotRecord""]",must,"[""path redaction"", ""sha256 present""]",implemented,track_live_source_ingestion
"Compare source-version row counts, columns and checksum changes over time.",Maintain source drift and schema diff reports as release gates,func_source_diff,"[""two source snapshots""]",data_pipeline,source diff,"[""source_drift_report.jsonl"", ""source_drift_report.csv"", ""source_drift summary""]",should,"[""schema drift"", ""row-count parity"", ""breaking-column removal gate""]",implemented,track_live_source_ingestion
Use Mojo for performance-sensitive fixed-width/TXT parsing experiments.,Implement Mojo fixed-width tokenizer kernel and Python parity test,func_mojo_tokenizer,"[""MBS TXT lines""]",mojo_kernel,fixed-width tokenizer kernel,"[""token spans"", ""benchmark report""]",must,"[""mojo smoke test"", ""Python parity test""]",prototype,track_runtime_mojo_python314
Prototype fast string prefiltering for crosswalk candidate generation.,Prototype Mojo fuzzy prefilter for large crosswalk candidate sets,func_mojo_fuzzy_prefilter,"[""normalised labels""]",mojo_kernel,fuzzy prefilter kernel,"[""candidate pairs""]",should,"[""benchmark"", ""gold-standard recall""]",prototype,track_runtime_mojo_python314
Run the Python package and tests against Python 3.14 in CI once installer/network is available.,Add Python 3.14 CI matrix and keep sandbox fallback documented,func_python314_ci,"[""pyproject.toml"", ""uv.lock""]",github_action,Python 3.14 CI gate,"[""CI evidence""]",must,"[""pytest pass"", ""typecheck pass""]",implemented,track_runtime_mojo_python314
Generate protocol and report stubs for OSF project components.,Generate OSF protocol pack from research question registry,func_osf_protocol_export,"[""research_questions.jsonl""]",data_pipeline,OSF protocol export,"[""protocol markdown"", ""OSF component plan""]",must,"[""all questions mapped"", ""paths exist""]",implemented,track_research_protocols_osf
Publish protocol/report artifacts to OSF through a token-gated workflow.,Add token-gated OSF API publication workflow,func_osf_api_publish,"[""OSF_TOKEN"", ""protocol pack""]",github_action,OSF API publish,"[""OSF files""]",should,"[""dry run default"", ""no raw data""]",implemented,track_research_protocols_osf
Publish licence-safe derived data to a Hugging Face Dataset repo.,Implement conditional Hugging Face dataset publication workflow,func_hf_dataset_publish,"[""publication_manifest.json"", ""HF_TOKEN""]",github_action,Hugging Face dataset publish,"[""HF dataset commit""]",must,"[""licence gates pass"", ""manifest pass""]",implemented,track_publication_hf_spaces
Deploy the static Astro dashboard to a Hugging Face Space.,Implement conditional Hugging Face Space deployment workflow,func_hf_space_deploy,"[""dashboard dist"", ""HF_TOKEN""]",github_action,Hugging Face Space deploy,"[""HF Space commit""]",must,"[""npm build pass"", ""no raw data""]",implemented,track_publication_hf_spaces
Generate datapackage.json for public derived tabular outputs.,Add Frictionless Data Package generator,func_frictionless_package,"[""publication_manifest.json""]",data_pipeline,Frictionless data package,"[""datapackage.json""]",should,"[""schema resources present""]",implemented,track_data_packaging_standards
"Generate RO-Crate metadata linking data, code, protocols, provenance and reports.",Add RO-Crate metadata generator,func_ro_crate,"[""publication_manifest.json"", ""research_questions.jsonl""]",data_pipeline,RO-Crate metadata,"[""ro-crate-metadata.json""]",should,"[""metadata validates""]",implemented,track_data_packaging_standards
Emit DCAT JSON-LD for dataset catalogue interoperability.,Add DCAT JSON-LD export,func_dcat,"[""publication_manifest.json""]",data_pipeline,DCAT catalogue metadata,"[""dcat.jsonld""]",could,"[""JSON-LD valid""]",implemented,track_data_packaging_standards
"Expose candidate mappings, evidence, reviewer state and adjudication status.",Build dashboard mapping adjudication views,func_mapping_review_ui,"[""mapping_evidence_matrix.csv""]",dashboard,mapping review UI,"[""dashboard review page""]",must,"[""approval state tracked""]",prototype,track_mapping_workbench
Maintain positive and negative mapping controls for calibration.,Add mapping gold-standard and negative-control datasets,func_gold_standard_mappings,"[""reviewed mappings""]",data_pipeline,gold-standard mapping set,"[""gold standard table""]",must,"[""reviewer signoff""]",planned,track_mapping_workbench
Resolve GitHub Actions to immutable SHAs and open/update a hardening PR.,Automate GitHub Action SHA pinning,func_action_sha_pin_bot,"[""workflow uses""]",github_action,action SHA pin resolver,"[""pinned workflow diff""]",must,"[""zizmor pass""]",prototype,track_ci_cd_supply_chain
Verify release provenance and SBOM attestations before public release.,Add consumer-side artifact attestation verification,func_release_attestation_verify,"[""release artifacts""]",github_action,attestation verification,"[""verification report""]",should,"[""SLSA verification pass""]",prototype,track_ci_cd_supply_chain
"Compare coverage, price, restrictions and mapping uncertainty for genomic/pathology tests.",Implement genomics/pathology policy demonstrator,func_genomics_demo,"[""MBS"", ""CMS CLFS"", ""CMS MCD"", ""NHS GTD""]",data_pipeline,genomics/pathology demonstrator,"[""policy brief"", ""analysis tables""]",must,"[""protocolled"", ""reviewed mappings""]",planned,track_policy_demonstrators
Estimate cognitive/procedural fee relativities across systems after caveated normalisation.,Implement cognitive versus procedural relativity analysis,func_cognitive_procedural_index,"[""MBS"", ""CMS PFS"", ""OHIP"", ""NHS""]",data_pipeline,cognitive/procedural relativity index,"[""relativity index""]",must,"[""PPP sensitivity"", ""basket review""]",planned,track_policy_demonstrators
"Characterise list, reimbursement, patient and hidden-net price opacity across medicines systems.",Implement medicine price-opacity scorecard,func_medicine_opacity_index,"[""PBS"", ""CMS ASP"", ""Part D"", ""PHARMAC""]",data_pipeline,medicine price-opacity index,"[""opacity scorecard""]",should,"[""rebate caveats explicit""]",planned,track_policy_demonstrators
Generate protocol/report completeness status records for OSF-aligned research questions.,Generate protocol-status gate for OSF research outputs,func_protocol_status,"[""research_questions.jsonl"", ""protocols/*.md"", ""reports/*.md""]",data_pipeline,protocol status,"[""protocol_status.jsonl"", ""protocol_status.csv"", ""summary.json""]",must,"[""all questions assessed"", ""missing sections visible"", ""OSF readiness explicit""]",implemented,track_research_protocols_osf
"Emit quoted, resumable curl/wget source download commands with header/ETag sidecars and licence-gate refusal.","Harden source download commands with quoting, retry, resume and sidecar metadata",func_source_download_hardened,"[""source_files.jsonl""]",cli,hardened source download plan,"[""download_plans.jsonl"", ""download_commands.sh"", ""download_attempts.jsonl""]",must,"[""shell quoting"", ""retry/resume flags"", ""licence gate skip"", ""raw paths ignored""]",implemented,track_live_source_ingestion
