domain,id,licence_risk,mapping_use,name,repo_strategy
laboratory_clinical_observations,loinc,medium,Genomics/pathology and lab observation crosswalks.,LOINC,Do not mirror full release unless licence permits; store mapping code and derived non-infringing identifiers with attribution.
medicines,rxnorm,medium,NDC/ingredient/brand/clinical drug mapping; PBS and Part B drug harmonisation.,RxNorm,Use RxNav APIs or RxNav-in-a-Box locally; avoid bundling licensed UMLS distributions in repo.
cross_terminology,umls,high,"Terminology bridge across ICD, CPT, SNOMED CT, RxNorm, MeSH and others where licensed.",UMLS Metathesaurus,Connector-only / local user-supplied cache; never push UMLS source files to public repo or HF dataset.
diagnoses,icd10,medium,"Eligibility, indication, case-mix and hospital episode mapping.",ICD-10 / ICD-10-CM / ICD-10-AM,Store source-specific adapters and licence metadata; do not assume one ICD variant maps cleanly to another.
diagnoses,icd11,medium,Modern diagnosis concept spine and international classification reference.,ICD-11,Prefer WHO API integration and pinned release metadata rather than static mirror.
medicines,atc,medium,International medicine class comparisons.,WHO ATC/DDD,Store mapping scripts and source URLs; check redistribution rights for annual ATC index extracts.
clinical_terms,snomed_ct,high,Clinical indication and procedure semantic mapping.,SNOMED CT,Do not mirror unless national licence permits; support user-supplied RF2 bundles.
phenotypes,hpo,low_medium,Genomic indication and rare disease phenotype matching.,Human Phenotype Ontology,Prefer official OBO/JSON downloads with attribution; version pin in data catalog.
genetics_disease,omim,high,Gene-disease validity and rare disease labels.,OMIM,Do not mirror; support local licensed keys only.
rare_disease,orpha,medium,Rare disease and indication grouping.,ORPHAnet / ORDO,Use permitted downloads/APIs and track attribution requirements.
genes,hgnc,low,Gene symbols and stable identifiers.,HGNC,Mirror permissible gene symbol reference tables if licence confirms; preserve version.
primary_care_terms,read_codes,high_or_deprecated,Historical UK primary-care mapping.,Read Codes / CTV3,Treat as historical/NHS-licensed; do not mirror until licence clarified.
psychiatric_diagnoses,dsm5,high,Mental health indication comparisons.,DSM-5,Do not mirror proprietary text; store mappings only where allowed from licensed/local sources.
biomedical_indexing,mesh,low_medium,Evidence literature indexing and concept enrichment.,MeSH,Use NLM downloads/API with attribution and version pinning.
