category,evidence,id,maturity,recommended_next_step,status
quality,.github/workflows/ci.yml,ci_python_quality,hardened,Keep coverage threshold above 90% and add per-module deltas when the codebase grows.,implemented
quality,.github/workflows/ci.yml,dashboard_build,hardened,Add deployment previews when the Hugging Face Space scaffold is activated.,implemented
security,.github/workflows/security.yml,codeql,hardened,Tune CodeQL config as parser/API surfaces mature.,implemented
security,.github/workflows/security.yml,dependency_review,hardened,Block high-severity dependency changes once real-source ingestion begins.,implemented
supply_chain,.github/workflows/scorecard.yml,openssf_scorecard,advanced,Upload SARIF/code-scanning results for public repositories.,implemented
supply_chain,.github/workflows/workflow-security.yml,zizmor_workflow_lint,advanced,Move from advisory to blocking once action SHA pinning is complete.,implemented
supply_chain,.github/workflows/release.yml,artifact_attestations,advanced,Attest all release bundles and dashboard artefacts.,implemented
supply_chain,data/derived/sbom/*.json,sbom_generation,advanced,Attach SBOMs to releases and archive publication manifests with attestations.,planned
repo_automation,renovate.json,renovate,hardened,Add automerge rules only after mutation/security gates are stable.,implemented
repo_automation,.github/dependabot.yml,dependabot,hardened,Use cooldown and grouping to reduce noisy dependency churn.,implemented
data_governance,scripts/check_public_data_policy.py,data_publication_gates,hardened,Add live reviewed-source bundle acceptance tests after first real MBS/CMS ingest.,implemented
quality,.github/workflows/uv-quality.yml,local_quality_orchestrator,advanced,Use the generated evidence bundle as the canonical PR/release validation record.,implemented
quality,.github/workflows/mutation-nightly.yml,mutation_nightly,advanced,Track mutation score trend rather than using it as a PR blocker initially.,implemented
architecture,scripts/make_architecture_report.py,architecture_boundary_gate,advanced,Keep layer violations and internal import cycles at zero.,implemented
release,scripts/make_release_readiness.py,release_readiness_matrix,advanced,Treat required release blockers as zero before public release.,implemented
repo_automation,.github/ISSUE_TEMPLATE/*.yml,issue_forms,hardened,"Keep source, analysis and quality-gate issues structured for project automation.",implemented
