deliverables,depends_on,github_project_status,goal,id,notes,phase,priority,title,workstream
"[""Mojo kernel smoke tests"", ""Python 3.14 CI matrix"", ""runtime target table"", ""fallback policy for current sandbox""]",[],ready_for_issue_sync,Make Mojo the explicit performance-kernel layer while targeting Python 3.14 for orchestration and packaging once CI can install it.,track_runtime_mojo_python314,"Stable orchestration remains typed Python, but performance-critical tokenisation, fuzzy matching and vector prefilters are tracked as Mojo kernels.",hardening,must,Mojo-first runtime and Python 3.14 compatibility,runtime
"[""source downloader"", ""download attempt log"", ""MBS pair bundle"", ""CMS CLFS safe parser"", ""PBS API extract""]","[""track_runtime_mojo_python314""]",done,"Download or API-fetch public sources using curl/wget/API clients, snapshot them locally, and publish derived-only validated records.",track_live_source_ingestion,"Completed and archived after bounded live-source, rights-review and hosted PBS acquisition gates passed. Raw source files remain ignored and local-only unless licence review explicitly permits redistribution.",archived,must,Evidence-grade live source ingestion,data
"[""protocol templates"", ""research question reports"", ""governance checklist""]",[],ready_for_issue_sync,"Treat each policy question as a protocolled, reviewable research output with destination-neutral reports and appendices.",track_research_protocols_osf,Legacy track identifier retained for referential integrity; OSF is deprecated and GitHub/Hugging Face/Zenodo carry active repository and publication roles.,design,must,Research protocol and report workflow,research
"[""dataset card"", ""Space README"", ""conditional publish workflow"", ""static dashboard bundle""]","[""track_live_source_ingestion""]",ready_for_issue_sync,Package licence-safe derived data for Hugging Face Datasets and deploy the static dashboard to Hugging Face Spaces.,track_publication_hf_spaces,"Publication is blocked until licence gates, source redaction and release readiness pass.",implementation,must,Hugging Face dataset and Spaces publication,publication
"[""datapackage.json"", ""ro-crate-metadata.json"", ""DCAT JSON-LD"", ""Zenodo metadata""]","[""track_publication_hf_spaces""]",ready_for_issue_sync,"Emit Frictionless Data Package, RO-Crate, DCAT and citation metadata for release candidates.",track_data_packaging_standards,"These outputs support reproducibility, discovery and archival release.",implementation,should,Research-data packaging standards,publication
"[""review UI tables"", ""gold-standard fixtures"", ""negative controls"", ""mapping confidence calibration""]","[""track_live_source_ingestion""]",ready_for_issue_sync,"Move from deterministic candidate crosswalks to adjudicated mapping evidence with gold standards, negative controls and reviewer state.",track_mapping_workbench,No high-impact policy output should rely on unreviewed automatic crosswalks.,implementation,must,Human-in-the-loop mapping workbench,mappings
"[""SHA-pinned actions"", ""blocking workflow security"", ""pip-audit network CI"", ""branch protection as code""]",[],ready_for_issue_sync,"Make release gates enforceable through GitHub Actions, action SHA pinning, SBOMs, attestations, Scorecard, CodeQL, dependency review and zizmór.",track_ci_cd_supply_chain,"Current sandbox cannot resolve all network gates, so the repo records blocked states explicitly.",hardening,must,CI/CD and supply-chain hardening,automation
"[""protocolled analyses"", ""reproducible notebooks/scripts"", ""policy briefs"", ""dashboard views""]","[""track_live_source_ingestion"", ""track_mapping_workbench"", ""track_research_protocols_osf""]",ready_for_issue_sync,"Produce publishable demonstrations for genomics/pathology, cognitive-procedural relativities, medicine price opacity and coverage discretion.",track_policy_demonstrators,Demonstrators should prioritise policy architecture and uncertainty over simplistic price league tables.,analysis,must,First policy demonstrators,analytics
"[""source-content validation rows"", ""data-quality checks"", ""research linkage matrix"", ""release-readiness gates"", ""evidence-readiness matrix"", ""source/schema drift report"", ""public artefact data dictionary""]","[""track_live_source_ingestion"", ""track_research_protocols_osf""]",ready_for_issue_sync,"Make downloaded source validation, table-level data-quality checks and research-question linkages explicit release gates before policy outputs are trusted.",track_data_quality_evidence,"This track closes the gap between acquisition plumbing and evidence-grade policy outputs; v17 adds evidence-readiness, data dictionary and source/schema drift gates.",hardening,must,"Data quality, source validation and evidence readiness",data_quality
"[""validated CITATION.cff"", ""current-state README"", ""public static dashboard"", ""executive readiness overview"", ""search and provenance drill-down"", ""WCAG and Lighthouse gates"", ""visual regression tests"", ""machine-readable public status"", ""versioned DOI release""]","[""track_live_source_ingestion"", ""track_publication_hf_spaces"", ""track_data_packaging_standards"", ""track_data_quality_evidence"", ""track_ci_cd_supply_chain""]",ready_for_issue_sync,"Present the atlas as a current, citable and accessible public product with a deployed dashboard, trustworthy status reporting and release-grade scholarly metadata.",track_public_product_citation_dashboard,"Public presentation must distinguish software readiness from research, evidence and publication readiness; dashboard deployment must expose only dashboard-safe derived artefacts.",implementation,must,"Public product, citation and dashboard maturity",dashboard
"[""historical local archive"", ""per-target checksums"", ""academic citation metadata"", ""licence review queue"", ""BPMN 2.0 transformation process""]","[""track_live_source_ingestion"", ""track_data_quality_evidence"", ""track_data_packaging_standards""]",ready_for_issue_sync,"Archive all discoverable historical source payloads locally, bind each to provenance/licence/citation metadata, and describe transformations in BPMN 2.0 without publishing unreviewed raw data.",track_historical_source_archival_reproducibility,"Local download does not grant redistribution rights; source-specific licence, methods and evidence review remain required.",implementation,must,Historical source archival and academic reproducibility,data
"[""historical OSF metadata"", ""protocol/source/output crosswalk"", ""frozen source cutoff"", ""registration decision record""]","[""track_research_protocols_osf"", ""track_data_quality_evidence""]",ready_for_issue_sync,Preserve the completed immutable OSF registration and its drift disclosure as historical provenance.,track_osf_registration_record_quality,OSF is deprecated as an active destination; this completed legacy track is evidence only.,research,could,Historical OSF registration evidence,research
"[""stratified mapping pack"", ""adjudication ledger"", ""holdout evaluation"", ""source-rights records"", ""dashboard review"", ""regenerated evidence handoff""]","[""track_mapping_workbench"", ""track_data_quality_evidence"", ""track_public_product_citation_dashboard""]",ready_for_issue_sync,"Close the mapping, source-licence, dashboard and research-methods review gates with explicit accountable-review evidence while preserving fail-closed evidence claims.",track_evidence_adjudication_review,Accountable human review remains required for evidence claims and licence decisions.,hardening,must,Evidence adjudication and accountable-review closure,evidence
"[""historical target reconciliation"", ""licence decision matrices"", ""BPMN 2.0 lineage"", ""source contracts"", ""deterministic package manifests""]","[""track_live_source_ingestion"", ""track_historical_source_archival_reproducibility"", ""track_data_packaging_standards""]",ready_for_issue_sync,"Make every historical and live source release citable and reproducible through source-specific licence decisions, transformation lineage, checksums and release-safe derived outputs.",track_source_provenance_licence_release,Raw and licence-gated source payloads remain local-only unless separately reviewed and permitted.,implementation,must,"Source provenance, licensing and historical release reproducibility",data
"[""README/CITATION parity"", ""dashboard review evidence"", ""OSF/HF/GitHub parity"", ""SBOM and provenance inputs"", ""publication boundary review""]","[""track_public_product_citation_dashboard"", ""track_publication_hf_spaces"", ""track_data_packaging_standards"", ""track_ci_cd_supply_chain""]",ready_for_issue_sync,"Bring the repository, OSF record, dashboard and release archive to a coherent citable state without claiming evidence readiness or publishing papers prematurely.",track_release_record_archive_maturity,Final publication review is required before any paper or preprint submission.,release,must,"Citation, archive and public record maturity",publication
