body_path,epic_id,epic_title,id,item_type,labels,milestone,priority,project_view,recommended_action,status,title,track_id
conductor/TRACKS.md,TRACK_RUNTIME_MOJO_PYTHON314,Mojo-first runtime and Python 3.14 compatibility,project_track_track_runtime_mojo_python314,track,"[""type:track"", ""workstream:runtime"", ""priority:must""]",M2 release hardening,must,Project backlog,Create or update a GitHub Project group for this Conductor track.,ready,Mojo-first runtime and Python 3.14 compatibility,track_runtime_mojo_python314
conductor/TRACKS.md,TRACK_LIVE_SOURCE_INGESTION,Evidence-grade live source ingestion,project_track_track_live_source_ingestion,track,"[""type:track"", ""workstream:data"", ""priority:must""]",M3 policy demonstrators,must,Project backlog,Create or update a GitHub Project group for this Conductor track.,ready,Evidence-grade live source ingestion,track_live_source_ingestion
conductor/TRACKS.md,TRACK_RESEARCH_PROTOCOLS_OSF,OSF research protocol and report workflow,project_track_track_research_protocols_osf,track,"[""type:track"", ""workstream:research"", ""priority:must""]",M0 project setup,must,Research & OSF,Create or update a GitHub Project group for this Conductor track.,ready,OSF research protocol and report workflow,track_research_protocols_osf
conductor/TRACKS.md,TRACK_PUBLICATION_HF_SPACES,Hugging Face dataset and Spaces publication,project_track_track_publication_hf_spaces,track,"[""type:track"", ""workstream:publication"", ""priority:must""]",M3 policy demonstrators,must,Dashboard & publication,Create or update a GitHub Project group for this Conductor track.,ready,Hugging Face dataset and Spaces publication,track_publication_hf_spaces
conductor/TRACKS.md,TRACK_DATA_PACKAGING_STANDARDS,Research-data packaging standards,project_track_track_data_packaging_standards,track,"[""type:track"", ""workstream:publication"", ""priority:should""]",M3 policy demonstrators,should,Dashboard & publication,Create or update a GitHub Project group for this Conductor track.,ready,Research-data packaging standards,track_data_packaging_standards
conductor/TRACKS.md,TRACK_MAPPING_WORKBENCH,Human-in-the-loop mapping workbench,project_track_track_mapping_workbench,track,"[""type:track"", ""workstream:mappings"", ""priority:must""]",M3 policy demonstrators,must,Project backlog,Create or update a GitHub Project group for this Conductor track.,ready,Human-in-the-loop mapping workbench,track_mapping_workbench
conductor/TRACKS.md,TRACK_CI_CD_SUPPLY_CHAIN,CI/CD and supply-chain hardening,project_track_track_ci_cd_supply_chain,track,"[""type:track"", ""workstream:automation"", ""priority:must""]",M2 release hardening,must,CI/CD & security,Create or update a GitHub Project group for this Conductor track.,ready,CI/CD and supply-chain hardening,track_ci_cd_supply_chain
conductor/TRACKS.md,TRACK_POLICY_DEMONSTRATORS,First policy demonstrators,project_track_track_policy_demonstrators,track,"[""type:track"", ""workstream:analytics"", ""priority:must""]",M3 policy demonstrators,must,Policy analyses,Create or update a GitHub Project group for this Conductor track.,ready,First policy demonstrators,track_policy_demonstrators
conductor/TRACKS.md,TRACK_DATA_QUALITY_EVIDENCE,"Data quality, source validation and evidence readiness",project_track_track_data_quality_evidence,track,"[""type:track"", ""workstream:data_quality"", ""priority:must""]",M2 release hardening,must,Project backlog,Create or update a GitHub Project group for this Conductor track.,ready,"Data quality, source validation and evidence readiness",track_data_quality_evidence
conductor/TRACKS.md,TRACK_PUBLIC_PRODUCT_CITATION_DASHBOARD,"Public product, citation and dashboard maturity",project_track_track_public_product_citation_dashboard,track,"[""type:track"", ""workstream:dashboard"", ""priority:must""]",M3 policy demonstrators,must,Dashboard & publication,Create or update a GitHub Project group for this Conductor track.,ready,"Public product, citation and dashboard maturity",track_public_product_citation_dashboard
.github/generated-issues/001-add-source-version-schema-for-mbs-cms-clfs-and-nhs-genomic-directory.md,SRC-001,First-wave source versioning and fixtures,project_issue_001_add_source_version_schema_for_mbs_cms_clfs_and_nhs_genomic_directory,issue,"[""type:data-source"", ""phase:1-slice"", ""risk:licence"", ""status:implemented""]",M1 evidence-grade source slice,must,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,"Add source-version schema for MBS, CMS CLFS and NHS genomic directory",
.github/generated-issues/002-add-tiny-permissive-parser-fixtures-with-provenance-metadata.md,SRC-001,First-wave source versioning and fixtures,project_issue_002_add_tiny_permissive_parser_fixtures_with_provenance_metadata,issue,"[""type:parser"", ""phase:1-slice"", ""good-first-issue"", ""status:implemented""]",M1 evidence-grade source slice,could,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add tiny permissive parser fixtures with provenance metadata,
.github/generated-issues/003-add-url-licence-verification-checklist-for-first-wave-sources.md,SRC-001,First-wave source versioning and fixtures,project_issue_003_add_url_licence_verification_checklist_for_first_wave_sources,issue,"[""risk:licence"", ""type:data-source"", ""status:implemented""]",M0 project setup,must,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add URL/licence verification checklist for first-wave sources,
.github/generated-issues/004-implement-mbs-xml-parser-prototype-to-scheduleitemrecord.md,PARSE-001,Parser contract implementation,project_issue_004_implement_mbs_xml_parser_prototype_to_scheduleitemrecord,issue,"[""type:parser"", ""phase:1-slice"", ""needs-clinical-review"", ""status:implemented""]",M1 evidence-grade source slice,unknown,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Implement MBS XML parser prototype to ScheduleItemRecord,
.github/generated-issues/005-implement-cms-clfs-parser-prototype-to-scheduleitemrecord.md,PARSE-001,Parser contract implementation,project_issue_005_implement_cms_clfs_parser_prototype_to_scheduleitemrecord,issue,"[""type:parser"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,unknown,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Implement CMS CLFS parser prototype to ScheduleItemRecord,
.github/generated-issues/006-implement-nhs-genomic-directory-parser-prototype.md,PARSE-001,Parser contract implementation,project_issue_006_implement_nhs_genomic_directory_parser_prototype,issue,"[""type:parser"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,unknown,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Implement NHS genomic directory parser prototype,
.github/generated-issues/007-implement-pbs-api-csv-parser-prototype-to-scheduleitemrecord.md,PARSE-001,Parser contract implementation,project_issue_007_implement_pbs_api_csv_parser_prototype_to_scheduleitemrecord,issue,"[""type:parser"", ""phase:1-slice"", ""type:medicines"", ""status:implemented""]",M1 evidence-grade source slice,unknown,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Implement PBS API CSV parser prototype to ScheduleItemRecord,
.github/generated-issues/008-implement-cms-asp-parser-prototype-to-scheduleitemrecord.md,PARSE-001,Parser contract implementation,project_issue_008_implement_cms_asp_parser_prototype_to_scheduleitemrecord,issue,"[""type:parser"", ""phase:1-slice"", ""type:medicines"", ""status:implemented""]",M1 evidence-grade source slice,unknown,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Implement CMS ASP parser prototype to ScheduleItemRecord,
.github/generated-issues/009-implement-cms-pfs-parser-prototype-to-scheduleitemrecord.md,PARSE-001,Parser contract implementation,project_issue_009_implement_cms_pfs_parser_prototype_to_scheduleitemrecord,issue,"[""type:parser"", ""phase:1-slice"", ""risk:licence"", ""status:implemented""]",M1 evidence-grade source slice,must,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Implement CMS PFS parser prototype to ScheduleItemRecord,
.github/generated-issues/010-define-genomics-pathology-basket-and-mapping-evidence-fields.md,MAP-001,Candidate crosswalk pipeline,project_issue_010_define_genomics_pathology_basket_and_mapping_evidence_fields,issue,"[""type:mapping"", ""needs-clinical-review"", ""status:implemented""]",M0 project setup,unknown,Mappings & ontologies,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Define genomics/pathology basket and mapping evidence fields,
.github/generated-issues/011-add-loinc-hpo-hgnc-local-only-adapter-conventions.md,MAP-001,Candidate crosswalk pipeline,project_issue_011_add_loinc_hpo_hgnc_local_only_adapter_conventions,issue,"[""type:ontology"", ""risk:licence"", ""status:implemented""]",M0 project setup,must,Mappings & ontologies,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add LOINC/HPO/HGNC local-only adapter conventions,
.github/generated-issues/012-build-candidate-crosswalk-review-queue-format.md,MAP-001,Candidate crosswalk pipeline,project_issue_012_build_candidate_crosswalk_review_queue_format,issue,"[""type:mapping"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,unknown,Mappings & ontologies,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Build candidate crosswalk review queue format,
.github/generated-issues/013-validate-source-scoring-rubric-against-first-wave-sources.md,ANA-001,Source openness and access-readiness index,project_issue_013_validate_source_scoring_rubric_against_first_wave_sources,issue,"[""type:analysis"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,unknown,Policy analyses,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Validate source scoring rubric against first-wave sources,
.github/generated-issues/014-add-sensitivity-analysis-for-readiness-grade-thresholds.md,ANA-001,Source openness and access-readiness index,project_issue_014_add_sensitivity_analysis_for_readiness_grade_thresholds,issue,"[""type:analysis"", ""good-first-issue"", ""status:implemented""]",M0 project setup,could,Policy analyses,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add sensitivity analysis for readiness grade thresholds,
.github/generated-issues/015-read-generated-graph-csv-files-in-astro-dashboard.md,DASH-001,Seed graph dashboard,project_issue_015_read_generated_graph_csv_files_in_astro_dashboard,issue,"[""type:dashboard"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,unknown,Dashboard & publication,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Read generated graph CSV files in Astro dashboard,
.github/generated-issues/016-add-source-detail-route-and-analysis-detail-route.md,DASH-001,Seed graph dashboard,project_issue_016_add_source_detail_route_and_analysis_detail_route,issue,"[""type:dashboard"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,unknown,Dashboard & publication,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add source detail route and analysis detail route,
.github/generated-issues/017-add-devcontainer-and-codespaces-settings.md,DX-001,Developer experience and release hardening,project_issue_017_add_devcontainer_and_codespaces_settings,issue,"[""type:automation"", ""good-first-issue"", ""status:implemented""]",M0 project setup,could,CI/CD & security,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add devcontainer and codespaces settings,
.github/generated-issues/018-add-sbom-and-slsa-provenance-release-jobs.md,DX-001,Developer experience and release hardening,project_issue_018_add_sbom_and_slsa_provenance_release_jobs,issue,"[""type:security"", ""phase:2-expansion"", ""status:implemented""]",M4 expansion roadmap,must,CI/CD & security,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add SBOM and SLSA provenance release jobs,
.github/generated-issues/019-convert-backlog-yaml-to-github-issues.md,DX-001,Developer experience and release hardening,project_issue_019_convert_backlog_yaml_to_github_issues,issue,"[""type:automation"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,unknown,CI/CD & security,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Convert backlog YAML to GitHub issues,
