component_title,component_type,id,local_path,notes,osf_path,required_before_release,research_question_id
Reimbursement Atlas research programme,project_root,osf_project_root,README.md,"Root OSF project should link GitHub, Hugging Face dataset/Space and releases.",/,True,
Methods papers and preprints,preprints,osf_methods_papers,papers/,Preprint manuscripts and reviewer response material.,/papers/,False,
Protocol: Genomics and pathology reimbursement,protocol,osf_genomics_coverage_price_protocol,protocols/genomics_pathology_protocol.md,Detailed protocol should be reviewed before analysis outputs are interpreted.,/protocols/genomics_pathology_protocol.md,True,rq_genomics_coverage_price
Report: Genomics and pathology reimbursement,report,osf_genomics_coverage_price_report,reports/genomics_pathology_report.md,Detailed analysis report populated after derived-data validation.,/reports/genomics_pathology_report.md,False,rq_genomics_coverage_price
Protocol: Cognitive and procedural relativities,protocol,osf_cognitive_procedural_protocol,protocols/cognitive_procedural_relativity_protocol.md,Detailed protocol should be reviewed before analysis outputs are interpreted.,/protocols/cognitive_procedural_relativity_protocol.md,True,rq_cognitive_procedural
Report: Cognitive and procedural relativities,report,osf_cognitive_procedural_report,reports/cognitive_procedural_relativity_report.md,Detailed analysis report populated after derived-data validation.,/reports/cognitive_procedural_relativity_report.md,False,rq_cognitive_procedural
Protocol: Medicine price opacity,protocol,osf_medicine_opacity_protocol,protocols/medicine_price_opacity_protocol.md,Detailed protocol should be reviewed before analysis outputs are interpreted.,/protocols/medicine_price_opacity_protocol.md,True,rq_medicine_opacity
Report: Medicine price opacity,report,osf_medicine_opacity_report,reports/medicine_price_opacity_report.md,Detailed analysis report populated after derived-data validation.,/reports/medicine_price_opacity_report.md,False,rq_medicine_opacity
Protocol: Coverage discretion and equity,protocol,osf_local_national_coverage_protocol,protocols/local_vs_national_coverage_protocol.md,Detailed protocol should be reviewed before analysis outputs are interpreted.,/protocols/local_vs_national_coverage_protocol.md,True,rq_local_national_coverage
Report: Coverage discretion and equity,report,osf_local_national_coverage_report,reports/local_vs_national_coverage_report.md,Detailed analysis report populated after derived-data validation.,/reports/local_vs_national_coverage_report.md,False,rq_local_national_coverage
Protocol: Source transparency atlas,protocol,osf_source_transparency_protocol,protocols/source_transparency_protocol.md,Detailed protocol should be reviewed before analysis outputs are interpreted.,/protocols/source_transparency_protocol.md,True,rq_source_transparency
Report: Source transparency atlas,report,osf_source_transparency_report,reports/source_transparency_report.md,Detailed analysis report populated after derived-data validation.,/reports/source_transparency_report.md,False,rq_source_transparency
Output plan: protocol,protocol,osf_output_out_osf_protocol_pack,protocols/,Detailed OSF protocol pack for research questions.,/protocol/protocols,True,
Output plan: report,report,osf_output_out_osf_reports,reports/,Question-specific detailed reports.,/report/reports,True,
Output plan: preprint,preprint,osf_output_out_preprint_methods,papers/reimbursement_atlas_methods.md,Methods/design paper pathway.,/preprint/reimbursement_atlas_methods.md,False,
