access_mode,domain,id,jurisdiction,licence_gate,name,notes,parser_status,priority,recommended_next_step,source_url
curl_download,coverage,ds_us_cms_mcd_downloads,United States,public_reuse_review,CMS Medicare Coverage Database downloads,Coverage source needed to avoid treating fee schedule presence as coverage.,planned,must,Add NCD/LCD/article download records and coverage parser.,https://www.cms.gov/medicare-coverage-database/downloads/downloads.aspx
api,hospital_prices,ds_us_hospital_price_transparency,United States,public_reuse_review,CMS Hospital Price Transparency MRFs,Large files; best handled after core schedule architecture stabilises.,planned,should,Add metadata-only registry first; large MRF ingestion later.,https://www.cms.gov/priorities/key-initiatives/hospital-price-transparency
api,payer_prices,ds_us_transparency_in_coverage,United States,public_reuse_review,Transparency in Coverage MRFs,Potentially massive payer-negotiated-rate corpus.,planned,could,Track as future high-scale ingestion with object-store strategy.,https://www.cms.gov/priorities/healthplan-price-transparency
api,industry_payments,ds_us_open_payments,United States,public_reuse_review,CMS Open Payments,Relevant to high-cost technologies and prescribing/payment policy.,planned,could,Add as contextual conflict/influence dataset.,https://openpaymentsdata.cms.gov/
api,context,ds_oecd_health_statistics,OECD,public_reuse_review,OECD Health Statistics,Essential for cross-country interpretation.,planned,must,Add country denominators and expenditure context.,https://www.oecd.org/en/data/datasets/oecd-health-statistics.html
api,context,ds_who_ghed,Global,public_reuse_review,WHO Global Health Expenditure Database,Needed for public/private expenditure context.,planned,must,Add expenditure denominator tables.,https://apps.who.int/nha/database
api,context,ds_world_bank_wdi_health,Global,public_reuse_review,World Bank WDI health expenditure indicators,API-friendly contextual denominator source.,planned,should,Add API adapter for health expenditure indicators.,https://data.worldbank.org/indicator/SH.XPD.CHEX.GD.ZS
curl_download,services_medicines_devices,ds_brazil_sigtap,Brazil,public_reuse_review,SUS SIGTAP,"Broad public table covering procedures, medicines and OPM.",planned,should,Add source-file registry and parser feasibility review.,https://sigtap.datasus.gov.br/
landing_page,services,ds_chile_fonasa_arancel,Chile,public_reuse_review,FONASA arancel and PAD,Useful Latin American comparator.,planned,could,Assess file formats and API availability.,https://www.fonasa.cl/sites/fonasa/prestadores/modalidad-libre-eleccion/aranceles
api,procedure_codes,ds_colombia_cups,Colombia,public_reuse_review,CUPS procedure codes,Useful coding-system mapping comparator.,planned,could,Prototype FHIR ValueSet ingestion.,https://vulcano.ihcecol.gov.co/ValueSet-CUPSProcedureCodes
landing_page,services_claims,ds_korea_hira,South Korea,public_reuse_review,HIRA/NHI fee and claims resources,Strong fee-review and utilisation-control comparator.,planned,should,Map public English/Korean download endpoints.,https://www.hira.or.kr/eng/main.do
landing_page,services_hospital,ds_thailand_nhso,Thailand,public_reuse_review,NHSO/UCS tariffs and DRG resources,Universal coverage middle-income comparator.,planned,could,Assess public tariff and DRG extract availability.,https://eng.nhso.go.th/
landing_page,fees_subsidies,ds_singapore_moh_benchmarks,Singapore,public_reuse_review,MOH fee benchmarks and subsidy lists,Policy-relevant but conceptually distinct from reimbursement schedules.,planned,should,Separate benchmark prices from payer reimbursement.,https://www.moh.gov.sg/managing-expenses/bills-and-fee-benchmarks/hospital-bills-and-fee-benchmarks/
landing_page,context,ds_aihw_health_expenditure,Australia,public_reuse_review,AIHW health expenditure and MBS/PBS contextual tables,Needed for policy interpretation of MBS/PBS spending.,planned,should,Add Australian denominator/context sources.,https://www.aihw.gov.au/reports-data/health-welfare-services/health-welfare-expenditure/overview
api,burden_of_disease,ds_ihme_gbd,Global,public_reuse_review,IHME Global Burden of Disease,Burden alignment analysis needs disease denominators.,planned,could,Review GBD licensing/API before use; WHO GHO placeholder retained.,https://ghoapi.azureedge.net/api/
