caveats,difficulty,id,methods,policy_insight,primary_output,purpose,required_sources,stage,title
Coding and facility/professional bundle boundaries must be manually validated.,medium,cognitive_vs_procedural_ratio,"[""basket construction"", ""PPP conversion"", ""robustness checks"", ""uncertainty scoring""]","Identifies whether schedules structurally privilege procedures over diagnostic reasoning, chronic care, counselling and coordination.",Jurisdiction-level index and service-pair basket table.,Compare reimbursement relativities for consultative/cognitive work against procedural/interventional work.,"[""au_mbs"", ""us_cms_pfs"", ""ca_on_ohip"", ""de_ebm"", ""jp_mhlw_fee"", ""tw_nhi_services""]",design,Cognitive versus procedural reward index
CPT/MBS/test-directory mapping requires clinical review and LOINC/HPO support.,medium,genomics_coverage_price_diffusion,"[""event study"", ""interrupted time series"", ""graph mapping"", ""text classification""]",Shows whether public coverage produces actual uptake and whether restrictions create bottlenecks.,"Genomic test graph, coverage chronology and utilisation panel.","Map genomic test eligibility, price/payment, coverage criteria and utilisation trajectories.","[""au_mbs"", ""au_msac"", ""us_cms_clfs"", ""us_cms_mcd"", ""uk_genomic_test_directory""]",design,"Genomics coverage, price and diffusion atlas"
"Net prices are often unavailable; output should be labelled as transparency, not exact net price.",medium,published_vs_effective_price_opacity,"[""document review"", ""ordinal scoring"", ""sensitivity analysis""]","Highlights hidden rebates, confidential deeds, out-of-pocket gaps and negotiated plan/hospital prices.",Opacity index and evidence table.,Score each schedule on how far public prices are from likely effective payer cost.,"[""au_pbs"", ""us_cms_asp"", ""uk_nhs_drug_tariff"", ""nz_pharmac"", ""jp_nhi_drug_prices"", ""ch_specialities_list"", ""se_tlv""]",design,Published versus effective price opacity score
Can become descriptive unless linked to case studies.,low,coverage_decision_architecture,"[""qualitative coding"", ""process mining"", ""decision log extraction""]","Clarifies institutional design choices: national vs local discretion, explicit HTA, evidence thresholds and appeals.",Process maps and decision taxonomy.,"Compare how systems separate evidence assessment, coverage, price setting, restrictions and utilisation management.","[""au_msac"", ""au_pbac"", ""us_cms_mcd"", ""uk_genomic_test_directory"", ""fr_haspub""]",design,Coverage decision architecture comparison
Needs careful assumptions and sometimes non-public plan/provider pricing.,high,patient_cost_exposure,"[""microsimulation"", ""scenario modelling"", ""sensitivity analysis""]",Shows whether public reimbursement actually protects patients from out-of-pocket exposure.,Cost exposure profiles and simulated patient vignettes.,"Compare copayment, coinsurance, balance billing, bulk billing and safety-net rules for matched service baskets.","[""au_mbs"", ""au_pbs"", ""us_cms_pfs"", ""us_cms_asp"", ""uk_nhs_payment_scheme""]",design,Patient cost exposure and gap risk
US and Canada are more subnational; Australia variation is more provider supply than schedule rules.,medium,local_discretion_postcode_lottery,"[""hierarchical modelling"", ""coverage text comparison"", ""geospatial joins""]",Distinguishes responsiveness from inequity: local coverage can speed innovation or create access variation.,Variation dashboard and maps.,Measure geographic coverage/payment variation within systems.,"[""us_cms_mcd"", ""us_medicaid_state_fees"", ""ca_on_ohip"", ""ca_bc_msp"", ""ca_ab_somb"", ""au_mbs""]",design,Local discretion and postcode-lottery index
DRG systems are not one-to-one; often needs procedure-level vignettes.,high,hospital_professional_unbundling,"[""case-mix harmonization"", ""component mapping"", ""DRG/APC crosswalk""]",Shows whether apparent cross-country price differences are driven by bundling rather than generosity.,Bundle decomposition schema and exemplar procedures.,"Compare facility, professional, device, drug and pathology components across hospital-related interventions.","[""au_ihacpa_nep"", ""us_cms_ipps"", ""us_cms_opps"", ""uk_nhs_payment_scheme"", ""de_gdrg"", ""ch_swissdrg"", ""dk_drg"", ""se_norddrg""]",design,Hospital-professional unbundling map
Regulatory approval dates may require additional data sources.,medium,innovation_time_to_reimbursement,"[""survival analysis"", ""milestone extraction"", ""NLP-assisted date extraction""]","Reveals whether systems trade speed for certainty, price discipline or evidentiary rigor.",Timeline dataset and survival models.,"Measure listing lag and coverage lag for high-cost drugs, genomic tests and devices.","[""au_pbs"", ""au_pbac"", ""au_msac"", ""us_cms_mcd"", ""uk_genomic_test_directory"", ""nz_pharmac"", ""fr_haspub""]",design,Time from evidence/approval to reimbursement
Needs reliable utilisation time series and mapping families.,medium,substitution_and_volume_control,"[""difference-in-differences"", ""synthetic control"", ""network flow""]",Helps distinguish productive innovation from additive low-value growth.,Utilisation panels and substitution networks.,Test whether new reimbursement items substitute for older items or expand total service volume.,"[""au_mbs"", ""us_cms_pfs"", ""us_cms_clfs"", ""tw_nhi_services""]",design,Substitution and volume-control evaluation
Restrictions may be embedded in PDFs and clinical forms.,medium,medicine_access_restriction_text,"[""NLP"", ""rule extraction"", ""clinical review""]",Turns opaque listing text into auditable access constraints.,Restriction ontology and strictness score.,Convert reimbursement restrictions into structured criteria and compare strictness.,"[""au_pbs"", ""uk_nhs_drug_tariff"", ""nz_pharmac"", ""jp_nhi_drug_prices"", ""ch_specialities_list"", ""se_tlv""]",design,Medicine restriction-text strictness index
