access_mode,acquisition_status,candidate_id,candidate_name,issue_disposition,licence_gate,linked_source_ids,metadata_status,next_step,parser_status,scope_note,source_url
curl_download,not_acquired,ds_us_cms_mcd_downloads,CMS Medicare Coverage Database downloads,close_metadata_onboarding,public_reuse_review,"[""us_cms_mcd""]",source_registered,Add NCD/LCD/article download records and coverage parser.,planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://www.cms.gov/medicare-coverage-database/downloads/downloads.aspx
api,not_acquired,ds_us_hospital_price_transparency,CMS Hospital Price Transparency MRFs,close_metadata_onboarding,public_reuse_review,[],candidate_registered,Add metadata-only registry first; large MRF ingestion later.,planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://www.cms.gov/priorities/key-initiatives/hospital-price-transparency
api,not_acquired,ds_us_transparency_in_coverage,Transparency in Coverage MRFs,close_metadata_onboarding,public_reuse_review,[],candidate_registered,Track as future high-scale ingestion with object-store strategy.,planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://www.cms.gov/priorities/healthplan-price-transparency
api,not_acquired,ds_us_open_payments,CMS Open Payments,close_metadata_onboarding,public_reuse_review,[],candidate_registered,Add as contextual conflict/influence dataset.,planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://openpaymentsdata.cms.gov/
api,not_acquired,ds_oecd_health_statistics,OECD Health Statistics,close_metadata_onboarding,public_reuse_review,"[""oecd_health_stats""]",source_registered,Add country denominators and expenditure context.,planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://www.oecd.org/en/data/datasets/oecd-health-statistics.html
api,not_acquired,ds_who_ghed,WHO Global Health Expenditure Database,close_metadata_onboarding,public_reuse_review,"[""who_gho""]",source_registered,Add expenditure denominator tables.,planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://apps.who.int/nha/database
api,not_acquired,ds_world_bank_wdi_health,World Bank WDI health expenditure indicators,close_metadata_onboarding,public_reuse_review,[],candidate_registered,Add API adapter for health expenditure indicators.,planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://data.worldbank.org/indicator/SH.XPD.CHEX.GD.ZS
curl_download,not_acquired,ds_brazil_sigtap,SUS SIGTAP,close_metadata_onboarding,public_reuse_review,"[""br_sigtap""]",source_registered,Add source-file registry and parser feasibility review.,planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://sigtap.datasus.gov.br/
landing_page,not_acquired,ds_chile_fonasa_arancel,FONASA arancel and PAD,close_metadata_onboarding,public_reuse_review,[],candidate_registered,Assess file formats and API availability.,planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://www.fonasa.cl/sites/fonasa/prestadores/modalidad-libre-eleccion/aranceles
api,not_acquired,ds_colombia_cups,CUPS procedure codes,close_metadata_onboarding,public_reuse_review,[],candidate_registered,Prototype FHIR ValueSet ingestion.,planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://vulcano.ihcecol.gov.co/ValueSet-CUPSProcedureCodes
landing_page,not_acquired,ds_korea_hira,HIRA/NHI fee and claims resources,close_metadata_onboarding,public_reuse_review,"[""kr_hira""]",source_registered,Map public English/Korean download endpoints.,planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://www.hira.or.kr/eng/main.do
landing_page,not_acquired,ds_thailand_nhso,NHSO/UCS tariffs and DRG resources,close_metadata_onboarding,public_reuse_review,[],candidate_registered,Assess public tariff and DRG extract availability.,planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://eng.nhso.go.th/
landing_page,not_acquired,ds_singapore_moh_benchmarks,MOH fee benchmarks and subsidy lists,close_metadata_onboarding,public_reuse_review,"[""sg_fee_benchmarks""]",source_registered,Separate benchmark prices from payer reimbursement.,planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://www.moh.gov.sg/managing-expenses/bills-and-fee-benchmarks/hospital-bills-and-fee-benchmarks/
landing_page,not_acquired,ds_aihw_health_expenditure,AIHW health expenditure and MBS/PBS contextual tables,close_metadata_onboarding,public_reuse_review,"[""au_aihw_mbs_pbs_stats""]",source_registered,Add Australian denominator/context sources.,planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://www.aihw.gov.au/reports-data/health-welfare-services/health-welfare-expenditure/overview
landing_page,not_acquired,ds_ihme_gbd,IHME Global Burden of Disease,close_metadata_onboarding,public_reuse_review,[],candidate_registered,"Review IHME GBD Results Tool access, citation and redistribution terms before acquiring any payload.",planned,"Candidate metadata and governance scope are registered. This does not establish payload acquisition, parser validation, redistribution rights, source completeness, or evidence readiness.",https://vizhub.healthdata.org/gbd-results/
