command,conductor_track,evidence_path,external_state,gate_evidence,github_issues,id,last_verified_at,reason_code,recommended_action,required_environment,review_record,status,task_group,title,unblock_condition
PYTHONPATH=src reimbursement-atlas source-download-plan --method curl && bash data/derived/source_downloads/download_commands.sh,track_live_source_ingestion,data/derived/source_downloads/download_attempts.jsonl,ready,"[""data/derived/source_downloads/download_attempts.jsonl""]","[23, 25, 255]",final_source_downloads,,source_acquisition_partial,"Run first, then rerun source-validation and source-contracts.",Network-enabled local machine or GitHub runner with outbound HTTPS.,,partial,source_ingestion,Run hardened curl/wget source download plan,MBS/PBS/CMS source hosts resolve and downloads complete into ignored [ignored-local-raw-cache] storage.
PYTHONPATH=src reimbursement-atlas reviewed-mbs-txt-pair-bundle [ignored-local-raw-cache]/au_mbs/20260701_MBSONLINE_IMAP.TXT [ignored-local-raw-cache]/au_mbs/20260701_MBSONLINE_DESC.TXT,track_live_source_ingestion,data/derived/reviewed_source_bundles/,not_applicable,"[""data/derived/reviewed_source_bundles/""]",[23],final_mbs_pair_bundle,,reviewed_bundle_complete,Commit only derived rows and redacted provenance after licence review.,Local checkout with downloaded MBS item-map and descriptor TXT files.,,complete,source_ingestion,Create reviewed derived-only MBS TXT pair bundle,Both July 2026 MBS TXT files exist in ignored local raw storage.
PYTHONPATH=src reimbursement-atlas source-files,track_source_provenance_licence_release,docs/LIVE_SOURCE_VALIDATION_PLAYBOOK.md,not_applicable,"[""data/derived/licence_review/licence_review_queue.jsonl"", ""data/licence_review/decisions.jsonl"", ""docs/REVIEW_DECISIONS.md""]","[24, 492, 496]",final_cms_clfs_licence_review,,checksum_bound_scope_approved,Avoid CPT descriptor redistribution; publish payment/metadata only when permitted.,Human review of AMA/CPT licence implications before parsing or publishing fields.,data/licence_review/decisions.jsonl,complete,source_ingestion,Review CMS CLFS AMA-gated file and derived-field policy,Reviewer approves the set of derived CLFS fields that can be stored and published.
uv run --all-extras pip-audit --strict,track_ci_cd_supply_chain,data/derived/external_quality_gates.json,not_applicable,"[""data/derived/external_quality_gates.json""]",[191],final_pip_audit_strict,,external_security_gate,Make this a required release gate in CI before public release.,Network-enabled Python environment with access to PyPI advisory APIs.,,complete,security,Run pip-audit strict in a network-enabled environment,PyPI advisory lookup completes with no unresolved vulnerabilities.
PYTHONPATH=src python scripts/resolve_action_pins.py,track_ci_cd_supply_chain,data/derived/repo_automation/action_pin_resolution.jsonl,not_applicable,"[""data/derived/repo_automation/action_pin_resolution.jsonl""]",[191],final_action_sha_pinning,,action_pin_gate,Keep all third-party Actions SHA-pinned and zizmor medium findings blocking.,Network-enabled environment with GitHub API access.,,complete,automation,Resolve GitHub Action tags to immutable SHAs,All action references are resolved and workflows use immutable SHAs where practical.
gh workflow run huggingface-destination.yml,track_publication_hf_spaces,.github/workflows/huggingface.yml,published,"[""data/derived/release_readiness/summary.json"", ""data/derived/publication_manifest/summary.json""]",[534],final_hf_dataset_space,,publication_remote_parity_verified,Preserve the published receipt and verify destination metadata read-only; do not republish unchanged artifacts.,"GitHub Actions with configured HF_TOKEN, HF_DATASET_REPO and HF_SPACE_REPO targets, plus licence and evidence review.",,complete,publication,Publish gated Hugging Face dataset and Space dry run,"Licence, evidence, policy and research gates pass and publication is explicitly approved."
PYTHONPATH=src python scripts/make_mapping_blind_review_ledger.py --cycle expansion_v9 && PYTHONPATH=src python scripts/make_mapping_adjudication_packet.py --cycle expansion_v9,track_evidence_adjudication_review,data/derived/mapping_study/expansion_v9/adjudication_owner_packet.json,not_applicable,"[""data/derived/mapping_study/expansion_v9/adjudication_owner_packet.json"", ""data/derived/mapping_study/expansion_v9/candidate_frame_summary.json""]","[490, 491]",final_mapping_calibration_review,,mapping_holdout_accepted,Preserve the accepted evaluation and immutable holdout; do not reevaluate it.,Two isolated blinded reviews and accountable adjudication of the separately frozen expansion cycle.,,complete,mappings,Adjudicate mapping gold standards and negative controls,"The expansion cycle fills the approved family/label quotas, accountable adjudication is frozen, and the untouched holdout is evaluated exactly once."
pixi run historical-sources && pixi run source-download-plan && pixi run source-contracts,track_historical_source_archival_reproducibility,data/derived/historical_sources/summary.json,not_applicable,"[""data/derived/historical_sources/summary.json"", ""data/derived/historical_sources/pbs_publication_archive_v1/acquisition_summary.json"", ""data/derived/historical_sources/pbs_structured_archive_v1/acquisition_summary.json"", ""data/derived/historical_sources/pbs_archive_verification_v1/summary.json"", ""data/licence_review/pbs_raw_permission.json""]","[255, 486, 492]",final_historical_source_expansion,,historical_source_acquisition_partial,"Preserve the verified 341 MBS snapshots, 1,048 PBS PDFs and 655 structured PBS packages in ignored storage. Use the active owner-attested permission and checksum-bound artefact gates for eligible PBS raw schedules, not other sources or out-of-scope notices. Treat December 1987 and optional pre-2007 structured parity as external source gaps, not as missing acquisition of the verified corpus.",Publisher/source access for the missing December 1987 bytes and optional pre-2007 structured parity. The active owner-attested PBS permission already covers eligible schedule artefacts; no repeated approval is required within that scope.,data/licence_review/pbs_raw_permission.json,partial,source_ingestion,Review historical MBS/PBS source expansion and licence scope,Obtain and validate the December 1987 bytes and any claimed early monthly releases. Retain the current scoped permission and source-specific restrictions; permission does not prove acquisition or publication.
cd apps/dashboard && npm run test:browser,track_public_product_citation_dashboard,docs/DASHBOARD_VALIDATION.md,not_applicable,"[""docs/DASHBOARD_VALIDATION.md"", ""data/derived/dashboard_review/automated_review_packet.json""]","[493, 501]",final_dashboard_visual_review,,dashboard_human_review_approved,"Refresh the current 11-route, four-project hosted packet automatically using its declared test-count contract; reuse standing authorization. Manual VoiceOver is outside scope. Ask only for expanded rights or claims, not changed packet hashes.",Hosted browser/provenance evidence within the owner-delegated scope.,data/derived/dashboard_review/human_review.json,complete,release,Review cross-platform dashboard visual baselines,Current machine checks pass and the existing standing scope validates.
PYTHONPATH=src reimbursement-atlas release-readiness && PYTHONPATH=src reimbursement-atlas data-quality,track_release_record_archive_maturity,data/derived/release_readiness/summary.json,ready,"[""data/derived/release_readiness/summary.json""]","[487, 507]",final_release_candidate,,repository_release_candidate_ready,"Only then cut a signed, attested public release and archive to Zenodo.",Network-enabled runner after source/security/publication gates complete.,,ready_local,release,Generate final release-readiness report and public archive,"Required software blockers are zero and repository_release_ready is true. Research, evidence and policy-claim readiness remain separate fail-closed gates."
